prefix_set,length,success,n,asr,wilson95_low,wilson95_high
gen1,k5,0,23,0.0,0.0,0.14312112541726274
gen1,k10,7,23,0.30434782608695654,0.15603828020972454,0.5086612906057261
gen1,k20,11,23,0.4782608695652174,0.2923686953994572,0.6703757013578151
gen1,k40,12,23,0.5217391304347826,0.3296242986421849,0.7076313046005427
gen1,full,13,23,0.5652173913043478,0.3681104930501695,0.7436563166780135
gen2,k5,0,23,0.0,0.0,0.14312112541726274
gen2,k10,2,23,0.08695652173913043,0.02417949540723341,0.2679640429809402
gen2,k20,11,23,0.4782608695652174,0.2923686953994572,0.6703757013578151
gen2,k40,11,23,0.4782608695652174,0.2923686953994572,0.6703757013578151
gen2,full,13,23,0.5652173913043478,0.3681104930501695,0.7436563166780135
gen3,k5,0,23,0.0,0.0,0.14312112541726274
gen3,k10,0,23,0.0,0.0,0.14312112541726274
gen3,k20,6,23,0.2608695652173913,0.1254844588924897,0.4647039054375056
gen3,k40,9,23,0.391304347826087,0.22157377982382145,0.5921482039625402
gen3,full,14,23,0.6086956521739131,0.4078517960374599,0.7784262201761787
static,k5,7,23,0.30434782608695654,0.15603828020972454,0.5086612906057261
static,k10,5,23,0.21739130434782608,0.09663835601719065,0.4190388018273492
static,k20,4,23,0.17391304347826086,0.06978540350612772,0.37138054785295666
static,k40,4,23,0.17391304347826086,0.06978540350612772,0.37138054785295666
static,full,4,23,0.17391304347826086,0.06978540350612772,0.37138054785295666
