row_idx,id,k5_adaptive_success_count,k5_static_success,k5_any_adaptive_success,k5_all_adaptive_success,k10_adaptive_success_count,k10_static_success,k10_any_adaptive_success,k10_all_adaptive_success,k20_adaptive_success_count,k20_static_success,k20_any_adaptive_success,k20_all_adaptive_success,k40_adaptive_success_count,k40_static_success,k40_any_adaptive_success,k40_all_adaptive_success,full_adaptive_success_count,full_static_success,full_any_adaptive_success,full_all_adaptive_success
0,153,0,1,0,0,1,1,1,0,2,0,1,0,2,1,1,0,1,1,1,0
1,75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2,86,0,0,0,0,1,0,1,0,1,0,1,0,3,1,1,1,2,0,1,0
3,105,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,2,0,1,0
4,223,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,2,1,1,0
5,60,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,2,0,1,0
6,52,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
7,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,128,0,1,0,0,1,0,1,0,2,0,1,0,2,0,1,0,3,0,1,1
9,299,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,1,2,0,1,0
10,266,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0
11,11,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
12,74,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,2,0,1,0
13,304,0,1,0,0,1,0,1,0,1,0,1,0,2,0,1,0,3,1,1,1
14,258,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,3,0,1,1
15,313,0,1,0,0,1,1,1,0,2,0,1,0,1,0,1,0,2,0,1,0
16,63,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,2,0,1,0
17,31,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0
18,67,0,0,0,0,1,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0
19,69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0
20,88,0,0,0,0,1,0,1,0,2,1,1,0,1,0,1,0,2,0,1,0
21,12,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,2,0,1,0
22,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
