k,condition,component,mean,std,abs_mean
5,adaptive,pc1_coef,0.6730668192009436,6.475215585546566,5.097357420227919
5,adaptive,pc2_coef,1.332507199944894,7.400147724533873,6.0819060441357955
5,adaptive,pc3_coef,5.5791691312212155,16.87729591430128,14.821579574533036
5,adaptive,pc4_coef,-2.1826065129663315,16.858559428750073,13.962172445892556
5,clean,pc1_coef,-5.7392861136446705,6.273041128192021,7.443477366142478
5,clean,pc2_coef,-1.6295294930781323,5.963880385051507,5.033236628386872
5,clean,pc3_coef,-9.78626609131968,14.16033639276453,14.338546810797387
5,clean,pc4_coef,8.669308260311745,14.573843475034277,13.967604567073971
5,refusal,pc1_coef,-49.10169015111733,22.3513344338398,49.277968308037046
5,refusal,pc2_coef,-12.165239821548111,44.455274535393265,37.39110579410214
5,refusal,pc3_coef,-4.9454380568185465,20.991053742732312,15.773950011269447
5,refusal,pc4_coef,-1.2282104107774108,16.951012444436444,13.693203911779483
5,static,pc1_coef,0.0,0.0,0.0
5,static,pc2_coef,0.0,0.0,0.0
5,static,pc3_coef,0.0,0.0,0.0
5,static,pc4_coef,0.0,0.0,0.0
10,adaptive,pc1_coef,1.57897104537743,5.642937593523003,4.231019089786918
10,adaptive,pc2_coef,0.2821168081743494,7.050881602723793,5.283975481489914
10,adaptive,pc3_coef,-3.8167786723448454,19.683796435261026,14.91364201619947
10,adaptive,pc4_coef,2.921360747214475,15.08071264309485,12.399209163671623
10,clean,pc1_coef,-3.9943028080957066,4.492051039354435,4.934119461367101
10,clean,pc2_coef,-3.750896461320858,6.180695819432582,6.057362486032678
10,clean,pc3_coef,16.045791844374563,17.598659580864283,20.771568428062224
10,clean,pc4_coef,16.563230924719683,13.602319489721891,17.827954959924234
10,refusal,pc1_coef,-42.98653597320698,39.187351244074094,43.55256932137385
10,refusal,pc2_coef,-14.926277080950744,21.2160398144761,18.872610934695768
10,refusal,pc3_coef,1.5372906263254902,19.75335574569185,15.748111135572012
10,refusal,pc4_coef,-0.8136378834766844,17.95430943243829,15.013547280174823
10,static,pc1_coef,0.0,0.0,0.0
10,static,pc2_coef,0.0,0.0,0.0
10,static,pc3_coef,0.0,0.0,0.0
10,static,pc4_coef,0.0,0.0,0.0
20,adaptive,pc1_coef,2.561914831125663,9.593207076939901,8.156745573951422
20,adaptive,pc2_coef,2.8368475325405598,6.020205675313693,5.146496659201896
20,adaptive,pc3_coef,1.5463269572316503,11.87842931979085,9.511406841087926
20,adaptive,pc4_coef,3.853620946772991,16.138368151111987,12.977837764960857
20,clean,pc1_coef,-5.135529146444029,7.90985820447184,7.773406783838762
20,clean,pc2_coef,-1.0059136642225979,5.819098195709388,4.834873757117993
20,clean,pc3_coef,-10.453496666865115,10.855110743945124,12.475428519896203
20,clean,pc4_coef,-13.077668527975405,13.8238283743073,15.247975542592856
20,refusal,pc1_coef,-43.159036478016276,37.172235312424775,44.09082959290662
20,refusal,pc2_coef,6.389563239882329,26.610983757942602,23.574100901287025
20,refusal,pc3_coef,10.771967572851414,21.428533280272433,19.13547614289939
20,refusal,pc4_coef,-3.273511383842471,22.006086980066634,17.653092457152948
20,static,pc1_coef,0.0,0.0,0.0
20,static,pc2_coef,0.0,0.0,0.0
20,static,pc3_coef,0.0,0.0,0.0
20,static,pc4_coef,0.0,0.0,0.0
40,adaptive,pc1_coef,1.1472961433871758,14.459398284824928,11.689504324589953
40,adaptive,pc2_coef,-7.146081534242886,20.383895157226323,17.00848320124248
40,adaptive,pc3_coef,0.17210773209487001,17.13800723171052,12.751325358550973
40,adaptive,pc4_coef,-1.5060644818047073,12.813418357179122,10.243460026712505
40,clean,pc1_coef,1.9414053137865535,12.560468152721963,10.782448190212982
40,clean,pc2_coef,20.34679182069776,14.890729043581622,20.625616619517697
40,clean,pc3_coef,-23.12913496070113,15.813972209632842,25.968116191267235
40,clean,pc4_coef,-3.08282485764268,10.826058511315795,9.421758726650586
40,refusal,pc1_coef,-30.77425080793767,19.62543376582585,31.3034396222764
40,refusal,pc2_coef,-5.616486353102637,22.896581849078522,18.291033682739076
40,refusal,pc3_coef,-4.841788188742896,21.350556497309125,16.60076274469129
40,refusal,pc4_coef,1.1637401069782993,17.37793695752193,13.969463140960851
40,static,pc1_coef,0.0,0.0,0.0
40,static,pc2_coef,0.0,0.0,0.0
40,static,pc3_coef,0.0,0.0,0.0
40,static,pc4_coef,0.0,0.0,0.0
