k,response_step,layer,component,singular_value,explained_energy_ratio,cumulative_energy_ratio
5,0,28,0,688.7822265625,0.23528507351875305,0.23528507351875305
5,0,28,1,588.4344482421875,0.17172229290008545,0.4070073664188385
5,0,28,2,275.3330993652344,0.03759649395942688,0.4446038603782654
5,0,28,3,216.9833984375,0.02334981970489025,0.4679536819458008
5,0,28,4,206.65052795410156,0.02117890678346157,0.4891325831413269
5,0,28,5,194.7112579345703,0.018802370876073837,0.5079349279403687
5,0,28,6,185.2603302001953,0.017021404579281807,0.5249563455581665
5,0,28,7,168.4996337890625,0.01408083550632,0.5390372276306152
5,0,28,8,155.7403564453125,0.012029091827571392,0.5510663390159607
5,0,28,9,149.8812713623047,0.011141026392579079,0.5622073411941528
5,0,28,10,142.119384765625,0.010016988031566143,0.5722243189811707
5,0,28,11,138.872802734375,0.009564558044075966,0.5817888975143433
5,0,28,12,133.2125244140625,0.008800768293440342,0.5905896425247192
5,0,28,13,126.08263397216797,0.007883898913860321,0.5984735488891602
5,0,28,14,122.97844696044922,0.007500470615923405,0.605974018573761
5,0,28,15,118.64085388183594,0.006980700884014368,0.6129547357559204
5,0,28,16,116.80968475341797,0.006766876205801964,0.6197215914726257
5,0,28,17,114.63482666015625,0.0065172393806278706,0.6262388229370117
5,0,28,18,113.89454650878906,0.006433337926864624,0.6326721906661987
5,0,28,19,112.12252807617188,0.006234710104763508,0.6389068961143494
5,0,28,20,110.30423736572266,0.0060341330245137215,0.6449410319328308
5,0,28,21,108.8883285522461,0.005880214273929596,0.6508212685585022
5,0,28,22,108.41043090820312,0.005828712601214647,0.6566500067710876
5,0,28,23,105.99039459228516,0.0055713895708322525,0.6622213125228882
5,0,28,24,104.38426208496094,0.005403815768659115,0.6676251292228699
5,0,28,25,103.52129364013672,0.005314836278557777,0.6729399561882019
5,0,28,26,102.73741149902344,0.005234650801867247,0.678174614906311
5,0,28,27,101.75170135498047,0.005134685896337032,0.6833093166351318
5,0,28,28,101.07714080810547,0.0050668311305344105,0.6883761286735535
5,0,28,29,99.62890625,0.004922675900161266,0.6932988166809082
5,0,28,30,98.74000549316406,0.004835226107388735,0.6981340646743774
5,0,28,31,98.42794036865234,0.004804711323231459,0.7029387950897217
5,0,28,32,98.08907318115234,0.0047716847620904446,0.7077105045318604
5,0,28,33,97.49098205566406,0.004713672213256359,0.7124241590499878
5,0,28,34,97.07279968261719,0.004673321265727282,0.7170974612236023
5,0,28,35,95.5143051147461,0.00452446611598134,0.7216219305992126
5,0,28,36,95.0158920288086,0.00447737006470561,0.7260993123054504
5,0,28,37,94.0594482421875,0.004387684166431427,0.7304869890213013
5,0,28,38,93.23377227783203,0.004310989752411842,0.7347979545593262
5,0,28,39,92.87850189208984,0.004278198350220919,0.7390761375427246
5,0,28,40,92.08026885986328,0.00420497776940465,0.7432811260223389
5,0,28,41,91.46321868896484,0.004148809239268303,0.7474299073219299
5,0,28,42,90.89761352539062,0.004097655415534973,0.7515275478363037
5,0,28,43,90.1555404663086,0.004031023476272821,0.7555585503578186
5,0,28,44,90.0473403930664,0.004021353553980589,0.7595798969268799
5,0,28,45,89.4305419921875,0.0039664520882070065,0.763546347618103
