k,response_step,layer,condition,n,delta_norm_from_static_mean,delta_norm_from_static_std,refusal_mean_direction_projection_mean,refusal_mean_direction_projection_std,refusal_subspace_projection_norm_mean,refusal_subspace_projection_norm_std,refusal_subspace_fraction_mean,refusal_subspace_fraction_std,refusal_subspace_residual_norm_mean,refusal_subspace_residual_norm_std,cosine_to_refusal_delta_mean,cosine_to_refusal_delta_std
5,0,28,clean,163,109.36255290025582,8.782834709781724,6.865498544979681,5.169193224263342,44.09120448527892,7.434444377332705,0.4032352030094416,0.063158671574392,99.80883676727856,8.729100433357093,0.5131627452885447,0.0700916740271603
5,0,28,refusal,163,110.87936345199866,8.724351645887772,50.894900517961,15.65410080550884,80.82179798524072,11.658231065618853,0.7294407430236325,0.09417805728739431,74.53120326410773,12.139630511284674,1.000000009873162,6.511438220872878e-08
5,0,28,static,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,28,adaptive,163,96.99616096356164,12.89079914729899,-1.3282134701137893,5.1132334582627035,34.78825955595707,13.339529104274531,0.35302777387247497,0.1156457499720073,89.72815685623263,11.624110074912004,0.4495386942946838,0.09596598800696865
10,0,28,clean,163,110.85731375290572,7.889893729143193,5.67932349827392,4.997293810937864,43.76517210416267,8.190329070928161,0.39494950429427844,0.07211976385839935,101.4959122827448,8.228165368716057,0.49904257241933625,0.05941238143065419
10,0,28,refusal,163,112.87441866822039,7.598995363961628,45.66509391266875,31.402333323746458,73.3837640446388,20.44439862009237,0.6452214336651234,0.163115499914875,82.59944468773216,13.136254734740493,1.0000000113358527,6.212992766341522e-08
10,0,28,static,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,28,adaptive,163,95.16700487195348,14.425928793321805,-1.636806098869973,6.189600230033385,32.41892036484794,14.702632637923957,0.3348145149419644,0.13074671733644672,88.43443321742895,13.306531759826996,0.43325489000674405,0.08107201018300092
20,0,28,clean,163,112.62028442570038,8.385701361586397,5.148264574492636,7.211680084031432,44.86272157774381,8.535660935894118,0.39787241898797043,0.06914833807845316,102.95319525595824,8.292590014284068,0.4848802777155777,0.05298773464203411
20,0,28,refusal,163,116.46610138313902,8.189687752838271,45.27452354343391,30.82713082330112,73.97285552697679,24.383985894354865,0.6270878370737005,0.1818241696470802,85.83036446132543,14.071591159381182,1.000000017552288,6.432929527596168e-08
20,0,28,static,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,28,adaptive,163,102.5127216643351,12.60836157904768,-1.6299025946599575,8.743016785240275,33.64926956621416,16.01995712504529,0.32306552662348453,0.1399347007795305,95.5861914231002,11.924626915249304,0.4467965523523787,0.07704949886357268
40,0,28,clean,163,111.59819358404428,11.152769730066819,-0.5580885991728379,10.195024668321492,44.79276165055351,11.923336039347458,0.39671910211352485,0.08687436679301394,101.70275771252217,9.302303848781058,0.47193035830749325,0.07877567087376142
40,0,28,refusal,163,115.36996277417143,7.432741159817949,32.07052960278798,15.219409398991386,59.21175770671821,14.875965460670441,0.5124119690225168,0.12210193042748704,97.66161702161918,10.017814437375101,1.000000014261234,6.187760702020267e-08
40,0,28,static,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,28,adaptive,163,105.29443478730559,11.878071420683387,0.23958182499452602,11.48381189453245,37.17235479179335,13.734847264529288,0.35020041607457436,0.12075727735540513,97.5883772914395,11.579519216567038,0.4694918912886842,0.08386031994742285
