k,response_step,layer,component,singular_value,explained_energy_ratio,cumulative_energy_ratio
5,0,28,0,1060.414794921875,0.6476261615753174,0.6476261615753174
5,0,28,1,495.6856994628906,0.1415095031261444,0.7891356945037842
5,0,28,2,241.89151000976562,0.03369877114892006,0.8228344917297363
5,0,28,3,179.26414489746094,0.018508007749915123,0.8413425087928772
5,0,28,4,155.1680145263672,0.013866831548511982,0.8552093505859375
5,0,28,5,126.74026489257812,0.009251284413039684,0.8644606471061707
5,0,28,6,113.33888244628906,0.0073982784524559975,0.8718589544296265
5,0,28,7,103.77325439453125,0.006202170625329018,0.8780609965324402
5,0,28,8,98.70436096191406,0.00561106763780117,0.8836720585823059
5,0,28,9,93.9780502319336,0.0050865779630839825,0.888758659362793
5,0,28,10,89.84852600097656,0.004649376962333918,0.8934080600738525
5,0,28,11,86.6980972290039,0.004329043440520763,0.8977370858192444
5,0,28,12,83.1080551147461,0.003977947402745485,0.9017150402069092
5,0,28,13,81.73009490966797,0.003847129875794053,0.905562162399292
5,0,28,14,79.00750732421875,0.003595088142901659,0.9091572761535645
5,0,28,15,77.08422088623047,0.0034221874084323645,0.9125794172286987
5,0,28,16,75.4375228881836,0.003277537412941456,0.9158569574356079
5,0,28,17,72.15621185302734,0.0029986121226102114,0.9188555479049683
5,0,28,18,70.73655700683594,0.0028817791026085615,0.9217373132705688
5,0,28,19,69.4986343383789,0.0027817965019494295,0.9245191216468811
5,0,28,20,66.8521957397461,0.002573974197730422,0.9270930886268616
5,0,28,21,64.35700225830078,0.0023854176979511976,0.9294785261154175
5,0,28,22,62.30965805053711,0.0022360605653375387,0.9317145943641663
5,0,28,23,61.805702209472656,0.0022000365424901247,0.9339146018028259
5,0,28,24,59.41903305053711,0.0020334054715931416,0.9359480142593384
5,0,28,25,56.606693267822266,0.001845475984737277,0.937793493270874
5,0,28,26,55.84255599975586,0.0017959879478439689,0.9395895004272461
5,0,28,27,54.67581558227539,0.001721723354421556,0.941311240196228
5,0,28,28,54.499019622802734,0.001710606855340302,0.943021833896637
5,0,28,29,53.71202850341797,0.0016615595668554306,0.9446833729743958
5,0,28,30,53.121009826660156,0.0016251950291916728,0.9463085532188416
5,0,28,31,51.27581787109375,0.0015142514603212476,0.9478228092193604
5,0,28,32,50.98740768432617,0.0014972650678828359,0.9493200778961182
5,0,28,33,49.18007278442383,0.0013930001296103,0.9507130980491638
5,0,28,34,47.69826889038086,0.0013103220844641328,0.952023446559906
5,0,28,35,47.522647857666016,0.0013006909284740686,0.9533241391181946
5,0,28,36,46.86808395385742,0.0012651068391278386,0.9545892477035522
5,0,28,37,45.9256591796875,0.0012147409142926335,0.9558039903640747
5,0,28,38,45.431373596191406,0.0011887337313964963,0.9569927453994751
5,0,28,39,44.73473358154297,0.0011525573208928108,0.958145260810852
5,0,28,40,44.386104583740234,0.0011346630053594708,0.9592798948287964
5,0,28,41,42.88362503051758,0.001059145899489522,0.9603390693664551
5,0,28,42,42.54037094116211,0.0010422583436593413,0.9613813161849976
5,0,28,43,42.225406646728516,0.0010268819751217961,0.962408185005188
5,0,28,44,41.23137664794922,0.0009791032643988729,0.9633873105049133
5,0,28,45,40.590248107910156,0.0009488908108323812,0.9643362164497375
5,0,28,46,39.74092483520508,0.000909596448764205,0.96524578332901
5,0,28,47,38.976966857910156,0.000874961435329169,0.9661207795143127
5,0,28,48,38.835914611816406,0.0008686401415616274,0.9669893980026245
5,0,28,49,38.398193359375,0.0008491695625707507,0.9678385853767395
5,0,28,50,37.717830657958984,0.00081934395711869,0.968657910823822
5,0,28,51,37.1250114440918,0.0007937907357700169,0.9694517254829407
5,0,28,52,36.704105377197266,0.0007758935098536313,0.9702275991439819
5,0,28,53,36.104827880859375,0.0007507639238610864,0.9709783792495728
5,0,28,54,35.601322174072266,0.0007299701101146638,0.971708357334137
5,0,28,55,35.50094223022461,0.0007258595433086157,0.9724341630935669
5,0,28,56,34.406944274902344,0.0006818125839345157,0.9731159806251526
5,0,28,57,33.45208740234375,0.0006444945465773344,0.9737604856491089
5,0,28,58,33.17729949951172,0.0006339498213492334,0.9743944406509399
5,0,28,59,33.05159378051758,0.0006291549652814865,0.9750235676765442
5,0,28,60,32.56154251098633,0.0006106364890001714,0.9756342172622681
5,0,28,61,32.19624710083008,0.0005970123456791043,0.9762312173843384
5,0,28,62,31.653722763061523,0.0005770619609393179,0.9768082499504089
5,0,28,63,31.471036911010742,0.0005704202339984477,0.9773787260055542
5,0,28,64,31.245779037475586,0.0005622837343253195,0.9779410362243652
5,0,28,65,30.71781349182129,0.0005434422637335956,0.9784844517707825
5,0,28,66,30.232967376708984,0.0005264224018901587,0.9790108799934387
5,0,28,67,30.088363647460938,0.0005213987315073609,0.9795323014259338
5,0,28,68,29.648462295532227,0.0005062641575932503,0.980038583278656
5,0,28,69,29.121843338012695,0.0004884392837993801,0.9805270433425903
