k,lookback,metric,n_success,n_fail,success_mean,fail_mean,success_minus_fail,success_median,fail_median,auc_success_high,auc_success_low
5,0,safety_projection,6,157,-2.888820707798004,-1.2685723678701242,-1.62024833992788,-3.020866274833679,-1.8327481746673584,0.37579617834394907,0.6242038216560509
5,0,kl_to_static,6,157,10.377336740493774,11.492451388365144,-1.1151146478713692,9.69074535369873,11.287092208862305,0.410828025477707,0.589171974522293
5,0,refusal_margin,6,157,1.2046820322672527,1.05960008065412,0.14508195161313275,1.4193615913391113,1.2732324600219729,0.49256900212314225,0.5074309978768577
5,0,refusal_logmass,6,157,-10.100428819656372,-8.899192990770764,-1.2012358288856078,-10.897530555725098,-9.06466007232666,0.35456475583864117,0.6454352441613588
5,0,compliance_logmass,6,157,-11.305110851923624,-9.95879307522136,-1.3463177767022643,-12.316892147064209,-10.077683448791504,0.37791932059447986,0.6220806794055201
5,1,safety_projection,6,157,-3.623074213663737,-2.4174617111303243,-1.2056125025334126,-4.108733415603638,-3.1295127868652344,0.4447983014861996,0.5552016985138004
5,1,kl_to_static,6,157,10.331855257352194,10.227558289743532,0.10429696760866136,11.663517951965332,9.624872207641602,0.5392781316348195,0.4607218683651805
5,1,refusal_margin,6,157,-0.9103257656097412,-2.743483394574208,1.8331576289644667,0.4018254280090332,-0.3840856552124023,0.5445859872611465,0.4554140127388535
5,1,refusal_logmass,6,157,-11.610896269480387,-10.486002763365484,-1.124893506114903,-11.693564891815186,-10.778549194335938,0.3673036093418259,0.6326963906581741
5,1,compliance_logmass,6,157,-10.700570503870646,-7.742519375547814,-2.9580511283228317,-11.255953788757324,-6.80625057220459,0.3099787685774947,0.6900212314225053
5,2,safety_projection,6,157,2.319239318370819,-0.089336632353485,2.408575950724304,1.9225860238075256,-1.5440335273742676,0.7197452229299363,0.2802547770700637
5,2,kl_to_static,6,157,12.437533100446066,10.81853737952603,1.6189957209200365,13.755909442901611,10.997562408447266,0.6337579617834395,0.3662420382165605
5,2,refusal_margin,6,157,1.8675438563028972,1.7672694002746776,0.1002744560282196,2.1430115699768066,2.810427665710449,0.40976645435244163,0.5902335456475584
5,2,refusal_logmass,6,157,-8.530065536499023,-6.584995517305508,-1.9450700191935155,-8.440305709838867,-5.8326921463012695,0.3057324840764331,0.6942675159235668
5,2,compliance_logmass,6,157,-10.39760939280192,-8.352264917580186,-2.045344475221734,-11.104979038238525,-8.295795440673828,0.29830148619957536,0.7016985138004246
5,4,safety_projection,6,156,7.529271841049194,7.548391647827931,-0.019119806778737036,7.536797046661377,7.4660255908966064,0.5235042735042735,0.47649572649572647
5,4,kl_to_static,6,156,10.739138523737589,7.922062956369841,2.8170755673677483,11.702883243560791,7.232038736343384,0.7692307692307693,0.23076923076923078
5,4,refusal_margin,6,156,-1.756722370783488,-1.7660904664259691,0.009368095642481089,-1.7604546546936035,-1.7770700454711914,0.5779914529914529,0.422008547008547
5,4,refusal_logmass,6,156,-6.089603424072266,-6.060109165998606,-0.029494258073659907,-6.05661678314209,-6.026808738708496,0.42948717948717946,0.5705128205128205
5,4,compliance_logmass,6,156,-4.332881053288777,-4.294018699572637,-0.038862353716140774,-4.295158386230469,-4.25963282585144,0.38995726495726496,0.6100427350427351
10,0,safety_projection,13,150,-3.276785800090203,-1.494674500823021,-1.782111299267182,-4.223567962646484,-2.017625570297241,0.37025641025641026,0.6297435897435898
10,0,kl_to_static,13,150,8.813387614030104,11.827134946187337,-3.0137473321572337,7.913700580596924,12.00286626815796,0.318974358974359,0.681025641025641
10,0,refusal_margin,13,150,1.3284157606271596,1.1890391600131989,0.13937660061396073,0.9294452667236328,1.2825751304626465,0.45282051282051283,0.5471794871794872
10,0,refusal_logmass,13,150,-11.316318732041578,-9.735634163618087,-1.5806845684234911,-11.830491065979004,-10.201618671417236,0.3476923076923077,0.6523076923076923
10,0,compliance_logmass,13,150,-12.64473449266874,-10.924673323631287,-1.7200611690374519,-13.441146850585938,-11.715052604675293,0.34307692307692306,0.6569230769230769
10,1,safety_projection,13,150,-1.880880860181955,-0.44737142463525137,-1.4335094355467037,-1.4951461553573608,-0.9720579981803894,0.44358974358974357,0.5564102564102564
10,1,kl_to_static,13,150,9.685023408669691,11.479375332991282,-1.7943519243215906,9.15894603729248,10.894326210021973,0.4194871794871795,0.5805128205128205
10,1,refusal_margin,13,150,1.3379576389606183,1.1205682786305746,0.21738936033004364,1.3017616271972656,1.3072600364685059,0.4928205128205128,0.5071794871794871
10,1,refusal_logmass,13,150,-9.893419082348164,-10.003909105459849,0.11049002311168543,-10.544610023498535,-10.063570976257324,0.46717948717948715,0.5328205128205128
10,1,compliance_logmass,13,150,-11.23137672130878,-11.12447738091151,-0.10689934039727156,-12.421194076538086,-11.411839008331299,0.45487179487179485,0.5451282051282051
10,2,safety_projection,13,150,-2.444428223830003,-2.4153131330013276,-0.02911509082867525,-2.92235803604126,-3.0616469383239746,0.5174358974358975,0.48256410256410254
10,2,kl_to_static,13,150,11.026048412689796,11.890632575352987,-0.8645841626631903,11.332239151000977,11.90681266784668,0.4543589743589744,0.5456410256410257
10,2,refusal_margin,13,150,0.9317980913015512,1.2590534981091817,-0.32725540680763043,1.0301523208618164,1.453420639038086,0.4082051282051282,0.5917948717948718
10,2,refusal_logmass,13,150,-10.176559484921968,-9.967152160803478,-0.20940732411849083,-9.849883079528809,-10.017881870269775,0.49025641025641026,0.5097435897435898
10,2,compliance_logmass,13,150,-11.10835757622352,-11.226205658912658,0.11784808268913771,-10.845242500305176,-11.409854888916016,0.5194871794871795,0.4805128205128205
10,4,safety_projection,13,150,-2.7759312116182766,-1.8147061864535015,-0.9612250251647751,-1.964193344116211,-2.5367307662963867,0.4882051282051282,0.5117948717948718
10,4,kl_to_static,13,150,9.951527036153353,10.847500648498535,-0.8959736123451822,8.608753204345703,10.04727554321289,0.42615384615384616,0.5738461538461539
10,4,refusal_margin,13,150,0.12191886168259841,0.9757865556081136,-0.8538676939255152,0.6666479110717773,1.1202006340026855,0.35846153846153844,0.6415384615384615
10,4,refusal_logmass,13,150,-10.764501645014835,-9.332932588259379,-1.4315690567554569,-11.64858627319336,-9.23225736618042,0.36974358974358973,0.6302564102564102
10,4,compliance_logmass,13,150,-10.886420506697435,-10.308719147841135,-0.5777013588563005,-11.265084266662598,-10.096506118774414,0.44666666666666666,0.5533333333333333
10,8,safety_projection,13,150,13.092384631817158,13.07227865854899,0.020105973268167432,13.105621337890623,13.045851230621338,0.5353846153846153,0.4646153846153846
10,8,kl_to_static,13,150,9.928546355320858,9.948563052813212,-0.020016697492353686,9.937493324279783,9.690277576446533,0.5010256410256411,0.498974358974359
10,8,refusal_margin,13,150,-1.6853112440842848,-1.7074644136428834,0.022153169558598584,-1.7061891555786133,-1.712052583694458,0.563076923076923,0.4369230769230769
10,8,refusal_logmass,13,150,-5.791850786942702,-5.793814760843913,0.001963973901210281,-5.788843631744385,-5.781327962875366,0.5046153846153846,0.49538461538461537
10,8,compliance_logmass,13,150,-4.1065395428584175,-4.086350347201029,-0.020189195657388304,-4.087411403656006,-4.070986270904541,0.4282051282051282,0.5717948717948718
20,0,safety_projection,25,138,-3.2327247571945192,-1.339536469915639,-1.8931882872788803,-5.354671478271484,-1.9046573042869568,0.3939130434782609,0.6060869565217392
20,0,kl_to_static,25,138,13.574065608978271,13.8752552965197,-0.30118968754142905,12.788679122924805,13.981716632843018,0.46753623188405796,0.532463768115942
20,0,refusal_margin,25,138,0.7458847427368164,1.2382006196008213,-0.4923158768640049,0.8721904754638672,1.5730743408203125,0.45652173913043476,0.5434782608695652
20,0,refusal_logmass,25,138,-11.082919511795044,-11.340637122375378,0.25771761058033427,-10.903700828552246,-11.425912857055664,0.5226086956521739,0.47739130434782606
20,0,compliance_logmass,25,138,-11.828804235458374,-12.578837736793187,0.7500335013348121,-12.9629545211792,-12.846650123596191,0.5318840579710145,0.4681159420289855
20,1,safety_projection,25,138,-3.0051466327905656,-0.5028910563475844,-2.5022555764429812,-3.6522626876831055,-0.8021898567676544,0.3744927536231884,0.6255072463768115
20,1,kl_to_static,25,138,11.02333598136902,13.182456298150878,-2.159120316781859,9.882102012634276,13.0653715133667,0.3710144927536232,0.6289855072463768
20,1,refusal_margin,25,138,0.8037373733520508,1.3745870339697686,-0.5708496606177178,0.5762462615966797,1.4715113639831543,0.4234782608695652,0.5765217391304348
20,1,refusal_logmass,25,138,-11.793458290100098,-11.273361227650573,-0.5200970624495245,-11.896233558654783,-11.265751361846924,0.45130434782608697,0.548695652173913
20,1,compliance_logmass,25,138,-12.597195663452148,-12.647948261620343,0.05075259816819511,-12.186824798583984,-12.90186071395874,0.5365217391304348,0.46347826086956523
20,2,safety_projection,25,138,-1.663866342306137,-0.2711406041314636,-1.3927257381746734,-2.9937145709991455,-1.1330808997154236,0.3849275362318841,0.615072463768116
20,2,kl_to_static,25,138,11.646848584413528,13.97836851209834,-2.3315199276848126,10.63312816619873,13.820931911468506,0.3417391304347826,0.6582608695652173
20,2,refusal_margin,25,138,-0.10664461135864257,0.9437905359959257,-1.0504351473545683,0.778346061706543,1.3118677139282227,0.41942028985507246,0.5805797101449275
20,2,refusal_logmass,25,138,-11.97531940460205,-11.443075041840041,-0.5322443627620093,-11.911745071411133,-11.702301979064941,0.4756521739130435,0.5243478260869565
20,2,compliance_logmass,25,138,-11.868674778938294,-12.386865578699803,0.5181907997615092,-13.020519256591797,-13.137970924377441,0.5455072463768116,0.4544927536231884
20,4,safety_projection,25,138,-2.101112289428711,0.1695105029620986,-2.2706227923908093,-2.4537384510040283,0.17689219117164603,0.36666666666666664,0.6333333333333333
20,4,kl_to_static,25,138,12.176942407488824,12.936938558367716,-0.7599961508788926,13.714621543884276,12.77962064743042,0.4910144927536232,0.5089855072463768
20,4,refusal_margin,25,138,0.22252464294433594,1.1991625432518944,-0.9766379003075585,1.5834083557128906,1.3834757804870605,0.4263768115942029,0.5736231884057971
20,4,refusal_logmass,25,138,-10.82261342048645,-11.158056631468344,0.3354432109818948,-12.114953994750977,-11.626910209655762,0.5269565217391304,0.47304347826086957
20,4,compliance_logmass,25,138,-11.045138072967529,-12.357219172128733,1.3120810991612046,-11.754558563232422,-12.898619651794434,0.5889855072463768,0.4110144927536232
20,8,safety_projection,25,138,0.7025837826728821,1.8566321175599443,-1.154048334887062,0.5934555530548096,1.4023458361625671,0.42231884057971014,0.5776811594202899
20,8,kl_to_static,25,138,11.477888057827949,12.040015695441136,-0.5621276376131874,11.308008193969728,11.893072128295898,0.46318840579710147,0.5368115942028986
20,8,refusal_margin,25,138,0.3802009677886964,1.3328489056531934,-0.952647937864497,1.2636966705322266,1.4235444068908691,0.4446376811594203,0.5553623188405797
20,8,refusal_logmass,25,138,-10.427300071716308,-10.678401603214983,0.25110153149867465,-10.379464149475098,-10.86184310913086,0.5257971014492754,0.4742028985507246
20,8,compliance_logmass,25,138,-10.807501058578492,-12.01125051016393,1.2037494515854377,-10.971087455749512,-12.42390251159668,0.5988405797101449,0.4011594202898551
