k,response_step,adaptive_projection,refusal_projection,adaptive_fraction_of_refusal
5,0,-1.3285763192396225,50.89448241368393,-0.026104525603396447
5,1,-1.5922942231952046,51.52759922208961,-0.03090177394705004
5,2,0.9042644670770212,51.51240091967436,0.01755430635988181
5,4,1.5222695590528244,44.509891033903955,0.034200702893055504
5,8,0.3492749860864475,48.26754523347492,0.007236228492602424
5,16,2.671017909525362,41.841485346753174,0.06383659393039756
10,0,-1.635479025954118,45.66389966833811,-0.03581557943655231
10,1,0.9333637673064976,45.572192962184275,0.02048099304944577
10,2,1.984444932886428,44.431236916524504,0.04466328355014554
10,4,-0.7972171900828192,47.144518202799226,-0.016910071848724166
10,8,-0.3345624875802935,43.78087932383356,-0.007641748926640754
10,16,-2.6219468348962396,30.671021073508115,-0.08548612804941562
15,0,-0.97145405923662,44.31952831167385,-0.021919323066909472
15,1,-0.6071713299839043,41.393786246425535,-0.014668175710462708
15,2,-0.8534124142553178,39.59135790013829,-0.02155552270795786
15,4,-1.265930829969652,40.2581020114612,-0.031445367931385595
15,8,-1.315446778857635,39.09947350346969,-0.033643593148150755
15,16,-3.832740849878159,29.81842861658225,-0.1285359768336935
20,0,-1.6293120638358811,45.27427077366531,-0.03598759374791749
20,1,-1.8795045391182224,40.75551309541691,-0.0461165716333376
20,2,-1.3106250589244937,39.13352803986497,-0.03349110403716659
20,4,-1.6108784494590174,37.137718571841354,-0.04337580528386096
20,8,-3.0630390307654634,32.397232317485695,-0.09454631805422019
20,16,-1.3641290379448172,27.10927035472145,-0.05031965154706702
