k,response_step,layer,baseline_condition,condition_a,condition_b,rank_a,rank_b,explained_variance_a,explained_variance_b,num_angles,principal_angle_min_deg,principal_angle_mean_deg,principal_angle_max_deg,subspace_alignment_mean_cos2,principal_angle_1_deg,principal_angle_2_deg,principal_angle_3_deg,principal_angle_4_deg,principal_angle_5_deg,principal_angle_6_deg,principal_angle_7_deg,principal_angle_8_deg
5,0,28,clean,refusal,static,8,8,0.8994743179650073,0.5795265244953867,8,24.34163514875989,64.86304188239991,89.83917732099148,0.25828428513459606,24.34163514875989,32.94823012177986,58.67839528409735,66.26076332721554,71.98769685723029,87.34283689678058,87.50560010234427,89.83917732099148
5,0,28,clean,refusal,adaptive,8,8,0.8994743179650073,0.6587220602147428,8,23.85640087982549,66.16270690181815,89.96481480209867,0.241079563814345,23.85640087982549,35.41955152684953,58.30365950101146,74.28544689807015,74.6894890877381,85.08264840516347,87.69964411378834,89.96481480209867
5,0,28,clean,static,adaptive,8,8,0.5795265244953867,0.6587220602147428,8,15.141654437294148,46.24888002628303,89.6869864058224,0.5012849005190743,15.141654437294148,27.84237409962754,35.786673689179636,40.09793867440919,48.43787692115108,52.41148166490215,60.5860543178781,89.6869864058224
10,0,28,clean,refusal,static,8,8,0.8019104294447186,0.5713180240787409,8,16.8922395360225,62.47499729632197,89.60608234754673,0.28896277789435293,16.8922395360225,31.541843712233685,52.35506405483652,61.79301101210896,75.32712401315716,85.76049547194138,86.52411822272884,89.60608234754673
10,0,28,clean,refusal,adaptive,8,8,0.8019104294447186,0.6219561567030829,8,21.42065521108369,63.36429361906908,87.30277998959288,0.269224099408121,21.42065521108369,33.004261786305875,54.074420073298924,68.13034468491749,73.37051993227564,84.03565209741004,85.57571517766813,87.30277998959288
10,0,28,clean,static,adaptive,8,8,0.5713180240787409,0.6219561567030829,8,13.943922625406715,38.41212121896788,76.20080551583739,0.6082801270336335,13.943922625406715,23.322189616175077,26.183659099388137,31.03631743228207,37.08384677677649,37.99514586512094,61.531082820756254,76.20080551583739
20,0,28,clean,refusal,static,8,8,0.7734057657322109,0.5681539884470104,8,16.762195487291276,60.60312391829497,89.90068612264265,0.3114492786591522,16.762195487291276,34.183826738717535,43.145790259970745,63.46981278442877,67.99199722248417,83.39151413298023,85.97916859784438,89.90068612264265
20,0,28,clean,refusal,adaptive,8,8,0.7734057657322109,0.6037035487509403,8,20.73247031918298,58.25899691884564,89.20571051043682,0.3374797979365849,20.73247031918298,34.14254204450888,47.11035794968745,51.073586119761494,61.11534139688734,78.9395497013298,83.7524173089704,89.20571051043682
20,0,28,clean,static,adaptive,8,8,0.5681539884470104,0.6037035487509403,8,13.91944471414774,40.2331277183041,81.4252165421853,0.5858900136361,13.91944471414774,28.102362871987477,29.19650469963785,33.511384808182854,38.6389207954454,46.206082403415195,50.865104911431004,81.4252165421853
40,0,28,clean,refusal,static,8,8,0.6049782021378738,0.5659404186452914,8,16.51839485304431,59.02962503254553,88.13842145851805,0.3189345827098108,16.51839485304431,36.965553555392944,41.809282068697385,59.96227451472554,69.8104566347334,77.95167727308323,81.08093990216942,88.13842145851805
40,0,28,clean,refusal,adaptive,8,8,0.6049782021378738,0.6075005358501258,8,19.748973971408716,55.715488727074856,88.21843643669821,0.37105422473436206,19.748973971408716,32.77483322555327,39.411976517048494,51.16697283760508,56.46667283654349,75.65804270720537,82.27800128453615,88.21843643669821
40,0,28,clean,static,adaptive,8,8,0.5659404186452914,0.6075005358501258,8,13.664260126138997,41.865697621291275,75.62660961506968,0.5519330928228987,13.664260126138997,26.742901603206008,30.21144646885044,35.76002207119203,42.66860783878904,47.44950769908474,62.80222554799927,75.62660961506968
