k,metric,n,mean_diff,std_diff,se_diff,adaptive_gt_static,adaptive_lt_static,median_diff,q25_diff,q75_diff
5,safety_projection,163,-1.3282134379345947,5.128990728436004,0.4017335585938846,61,102,-1.2442641258239746,-5.1930899024009705,1.9453098773956299
5,refusal_logmass,163,2.3593001248646366,4.241456526806164,0.3322165147790555,122,41,2.41560745239258,-0.12853479385376065,4.352092266082764
5,compliance_logmass,163,2.858937456563938,4.194099447067072,0.3285072220203998,128,35,2.782213211059572,0.31546354293823153,5.610270023345947
5,refusal_margin,163,-0.49963733169930113,2.6910682785714997,0.21078073508222306,57,106,-0.611058235168457,-1.942944049835205,0.5516376495361328
10,safety_projection,163,-1.6368060567261982,6.208674541361114,0.48630092150952814,59,104,-1.5150055289268494,-5.076363980770111,1.7317394614219666
10,refusal_logmass,163,2.155332477546177,4.5204265997198565,0.3540671372634107,122,41,2.169905662536621,0.06706428527832031,5.0314669609069815
10,compliance_logmass,163,1.7302174802206776,4.828208027496486,0.3781744392252366,113,50,2.0533695220947266,-0.4592909812927246,4.415226459503175
10,refusal_margin,163,0.42511499732549934,2.679336680588685,0.20986184541071334,90,73,0.1978702545166016,-0.9289393424987793,1.5038790702819824
15,safety_projection,163,-0.9722896428561649,7.708714559942571,0.6037931235049337,80,83,-0.45813083648681596,-5.877484381198883,4.170201510190964
15,refusal_logmass,163,1.4048598880416776,4.215253634996403,0.3301641458960655,111,52,2.107698440551758,-0.8216304779052734,3.8330302238464355
15,compliance_logmass,163,0.9060762850053471,4.8198668749245535,0.3775211097335456,98,65,1.1523399353027362,-1.3082761764526376,3.232710838317871
15,refusal_margin,163,0.4987836030363305,3.110181841571029,0.24360824287732982,93,70,0.4775886535644531,-1.0157899856567383,1.9400858879089355
20,safety_projection,163,-1.6299026948542683,8.76995999104868,0.6869162808965171,68,95,-2.5459363460540776,-7.808427184820175,4.885789632797241
20,refusal_logmass,163,1.591123285469102,5.057700665370509,0.39614968990624966,110,53,1.6254701614379883,-1.1200523376464853,4.7704424858093235
20,compliance_logmass,163,1.4288015775153973,4.834663896211121,0.3786801018886854,108,55,1.423309326171875,-0.7473516464233398,4.49572992324829
20,refusal_margin,163,0.16232170795370465,3.3611163109685394,0.26326294741910816,93,70,0.509913444519043,-0.9389595985412598,1.902163028717041
40,safety_projection,163,0.2395818349591062,11.519201271284334,0.9022534771248019,83,80,0.4125614166259766,-7.343576431274414,8.418608784675598
40,refusal_logmass,163,1.539954747159057,4.696321387745383,0.3678442803453517,117,46,1.854701042175293,-0.5382795333862287,4.237541675567625
40,compliance_logmass,163,0.7417345573565713,5.255650092699419,0.41165428565869966,99,64,1.1456069946289062,-1.7427968978881845,3.7285957336425772
40,refusal_margin,163,0.7982201898024858,3.9152567963109255,0.3066665800096904,100,63,0.8944826126098632,-1.3859062194824219,2.8478894233703613
