k,condition,layer,n,safety_projection_mean,safety_projection_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,adaptive,28,163,-1.3282134110576536,4.1130142221953,-8.943410308814487,2.969698340474411,-10.00835075846479,3.2426779447957315,1.0649404496503023,2.0516588453697686
5,clean,28,163,6.865498533826664,2.2454542491706118,-6.436367157778125,0.8243357590262316,-2.7378703333848824,1.4798114931081368,-3.698496824393243,1.2562296574461984
5,refusal,28,163,50.89490058524477,14.21583146263495,-11.519552488268518,1.384197475767391,-17.510575505122084,1.4414655275110226,5.991023016853567,2.2801184926430578
5,static,28,163,2.6876941049025834e-08,4.8922525870862215,-11.302710433679124,3.6544800399557444,-12.867288215028728,3.9624430522437875,1.5645777813496033,2.4218401247503367
10,adaptive,28,163,-1.636806076838195,4.316687903500663,-9.861700918045512,3.496677161131691,-11.061856094313546,3.5794932656158345,1.2001551762680334,1.8430920006256126
10,clean,28,163,5.679323461889489,2.022081030362668,-6.436367157778125,0.8243357590262316,-2.7378703333848824,1.4798114931081368,-3.698496824393243,1.2562296574461984
10,refusal,28,163,45.665094189482964,31.298396136740326,-15.07053448378674,2.7050565991991538,-17.962592926493453,2.088659125161949,2.892058442706711,2.623214243244271
10,static,28,163,-2.0111996703352665e-08,4.99877839431868,-12.017033395591689,3.7859158140972653,-12.792073574534223,4.155445620348506,0.7750401789425341,2.416215450354558
15,adaptive,28,163,-0.9722896573002353,5.307198365068785,-10.975957221048741,2.9841846887810086,-12.322790783607156,3.4173377891934704,1.346833562558414,2.270755104698466
15,clean,28,163,2.075454280420315,1.6716219532576675,-6.436367157778125,0.8243357590262316,-2.7378703333848824,1.4798114931081368,-3.698496824393243,1.2562296574461984
15,refusal,28,163,44.32086505846012,30.073952968617146,-16.07878465008882,2.9857769879605294,-18.85500239155775,2.177954017199693,2.776217741468933,1.5746386517241548
15,static,28,163,-1.444407035968055e-08,6.275169147717096,-12.380817109090419,3.5642506876536664,-13.228867068612502,3.7562526504860085,0.8480499595220835,2.4136069798074167
20,adaptive,28,163,-1.6299027716455283,6.54563812522703,-11.301109899041112,3.3609971498710323,-12.463801974899198,3.6088683687822156,1.162692075858087,2.690936518732258
20,clean,28,163,5.148264472835635,2.0256524608311945,-6.436367157778125,0.8243357590262316,-2.7378703333848824,1.4798114931081368,-3.698496824393243,1.2562296574461984
20,refusal,28,163,45.27452347029938,30.77777484372981,-16.373629277469192,3.122582736785414,-18.58817246208893,2.1221402921057337,2.21454318461974,1.7421670419742765
20,static,28,163,-7.67912601400738e-08,7.124180850818757,-12.892233184510214,4.018112486581518,-13.892603552414595,3.844148438582503,1.0003703679043823,1.7274620977921022
40,adaptive,28,163,0.23958181027620118,9.102928513490507,-12.099213260814457,2.8963748212984703,-13.07818579527498,3.3115726301886617,0.9789725344605241,2.5739214978667766
40,clean,28,163,-0.5580885971616383,2.723987988466426,-6.436367157778125,0.8243357590262316,-2.7378703333848824,1.4798114931081368,-3.698496824393243,1.2562296574461984
40,refusal,28,163,32.07052975051973,10.394905512382957,-15.564622668400864,3.277275733562959,-17.42204875009923,2.759831451040907,1.857426081698365,2.1573056408366855
40,static,28,163,-2.4682905045023725e-08,10.323590310544652,-13.639168007973513,3.837375849748132,-13.819920352631552,4.087310449152543,0.18075234465803836,2.838041178294471
