source,success,n,asr,ci_low,ci_high,model,prefix_family,k
logs/prefilling/meta-llama__Llama-3.2-3B__hex-phi_with_harmful_prefix__prefix10.json,308,330,0.9333333333333333,0.9011278955197595,0.9555658179060089,base Llama-3.2-3B,static harmful,10
logs/prefilling/ft_llama3_2_3b__hex-phi_with_harmful_prefix__prefix10.json,25,330,0.07575757575757576,0.05183750170583301,0.10944138025495317,original augmented,static harmful,10
logs/adaptive_recovery/eval_adaptive_ft_on_original_harmful_k5.json,64,330,0.19393939393939394,0.1549019728086961,0.2400206491772996,adaptive-only recovery,static harmful,5
logs/adaptive_recovery/eval_adaptive_ft_on_original_harmful_k10.json,80,330,0.24242424242424243,0.1993214674026047,0.29145499664501545,adaptive-only recovery,static harmful,10
logs/adaptive_recovery/eval_adaptive_ft_on_original_harmful_k20.json,98,330,0.296969696969697,0.2502353769844921,0.3483766593824556,adaptive-only recovery,static harmful,20
logs/adaptive_recovery/eval_adaptive_ft_on_original_harmful_k40.json,100,330,0.30303030303030304,0.2559460657938493,0.3546477008308015,adaptive-only recovery,static harmful,40
logs/adaptive_recovery/eval_mixed_50_50_on_original_harmful_k5.json,14,330,0.04242424242424243,0.025436583190641404,0.069942782352778,mixed 50/50 recovery,static harmful,5
logs/adaptive_recovery/eval_mixed_50_50_on_original_harmful_k10.json,7,330,0.021212121212121213,0.010312191518022967,0.043131118123435744,mixed 50/50 recovery,static harmful,10
logs/adaptive_recovery/eval_mixed_50_50_on_original_harmful_k20.json,13,330,0.03939393939393939,0.023164005297617276,0.06622449511695058,mixed 50/50 recovery,static harmful,20
logs/adaptive_recovery/eval_mixed_50_50_on_original_harmful_k40.json,16,330,0.048484848484848485,0.030061239731602945,0.0772998560695195,mixed 50/50 recovery,static harmful,40
