k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,kl_to_static_mean,kl_to_static_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,0,adaptive,28,23,0.6155047183451445,0.10665984069458827,10.898779599562936,2.5475588239503133,-5.545218301855999,0.07864683894283322,-4.028780771338421,0.10269092106862145,-1.5164375305175781,0.08117674929133945
5,0,clean,28,23,13.12146402441937,2.3308535294431123,11.17714027736498,2.5759923499653326,-6.512033545452615,0.7737265694127589,-2.5360890989718228,1.7653815860944846,-3.975944477578868,1.414869890113501
5,0,refusal,28,23,59.15468000329059,13.212849613767055,11.696784983510556,4.526324309507875,-11.530346455781356,1.194488946248658,-17.605828699858293,1.221348104545562,6.0754822440769365,2.198873071051317
5,0,static,28,23,-8.681546086850374e-08,3.7843669164445304,0.0,0.0,-11.719089280004086,2.982896404339544,-13.182220044343367,2.9029447041368988,1.4631307643392812,1.3579298461912601
5,1,adaptive,28,23,4.679699014062467,2.1660359163773557,10.664744190547777,2.8064090716913657,-5.286362730938455,1.0885123691649032,-7.931696974712869,0.5231530835411745,2.645334243774414,0.8009795999546161
5,1,clean,28,23,22.642055345618207,4.1004896930572405,13.487700337949006,2.9151589812789362,-2.132242852821946,3.8740407262276735,-7.485244688780411,3.585059444179493,5.353001822596011,0.8524104507253113
5,1,refusal,28,23,61.82487396571947,15.162131116547899,11.52603522590969,4.442110907872822,-10.79919375544009,2.471959901887348,-15.940666115802268,1.4570234566618092,5.141472360362178,1.623348903591767
5,1,static,28,23,-7.644943569017493e-08,5.851922668986619,0.0,0.0,-12.763615380162777,2.6850372691390527,-13.930094967717709,2.9498153850521907,1.1664795875549316,1.4000154361097898
5,2,adaptive,28,23,0.5087168981199679,2.7339630890502726,9.333941988323046,4.22694514380098,-12.711311526920484,1.259787447762104,-4.407026539678159,0.64436511045036,-8.304284987242326,1.772068780863424
5,2,clean,28,23,58.00327286512955,19.634693681928336,15.778950110725734,3.001328914245117,-10.601345559825068,1.0103522427191776,-14.9926467563795,1.298318793348313,4.391301196554433,1.0047298409474914
5,2,refusal,28,23,67.09053810783054,24.5289627700282,16.38593532728112,4.313728572157548,-12.332268673440684,1.44118469344709,-15.728235866712486,1.6802148060993671,3.3959671932718027,0.8074418601795185
5,2,static,28,23,3.239382868227751e-08,4.246667824332281,0.0,0.0,-12.049900386644447,3.5013398537048,-13.208143690358037,3.613984299672565,1.1582433037135913,1.8003938087640492
5,4,adaptive,28,23,14.320271567158077,6.446332814723078,14.906410942906918,4.005022147466875,-9.073759659476902,1.1872314691152426,-11.159895026165506,1.3007287212524212,2.086135366688604,0.8739611503832426
5,4,clean,28,23,21.38514368430428,6.201390507748414,15.094048023223877,4.110438727438125,-13.946704190710317,3.0517693406683595,-18.310146226831105,4.140242966620003,4.36344201668449,2.4890285636123095
5,4,refusal,28,23,59.370644030363664,25.568265920140398,14.267595249673594,4.885035988416688,-17.001496605251145,2.590733557347637,-19.55977784032407,2.4034885045375756,2.558281235072924,0.8903712894429692
5,4,static,28,23,-7.904094198475713e-08,4.652469968869899,0.0,0.0,-12.765012492304264,2.8553173095461934,-13.5835658363674,3.1294832963635733,0.8185533440631368,3.1959073484519545
5,8,adaptive,28,23,1.3065163622731748,4.06408390793837,11.01077719875004,3.990689518449498,-10.334709416265072,1.4206692424866358,-11.711852778559146,1.6400217026381918,1.3771433622940727,2.0315013317291073
5,8,clean,28,23,19.56371969762056,8.202001452604941,16.654677992281705,3.350529239888872,-13.550698570583178,1.8622155135044558,-16.947182987047277,1.5891759997195303,3.3964844164641006,0.886505452045548
5,8,refusal,28,23,65.58778335737145,30.56627346010647,15.016141974407693,3.129931004511577,-16.908104523368504,1.8140151475360489,-21.40850946177607,2.4999670285126223,4.500404938407566,1.1519537291419282
5,8,static,28,23,7.515368254288383e-08,5.903090495454154,0.0,0.0,-12.843719026316768,2.4107964871199616,-14.187025360439135,2.1683321063551726,1.3433063341223674,1.8760553777382583
5,16,adaptive,28,23,7.192135365112968,5.917453318859102,14.336073937623397,5.1363467086860615,-12.10792122716489,2.6926967796247308,-14.273376589236053,2.169147053663682,2.1654553620711616,2.3581285226717976
5,16,clean,28,23,20.76328484908394,8.354380322258487,16.545082672782566,4.669935184192403,-16.918938346531082,1.6407958943702825,-19.344834327697754,1.6814581038671608,2.425895981166674,0.8747416526995401
5,16,refusal,28,23,54.765849652497664,28.852372587465425,12.728529081408139,6.3120478518590835,-17.700700013533883,2.4480163169254885,-19.44630486032237,1.5060207270508175,1.7456048467884893,1.38409213131725
5,16,static,28,23,3.628108812415082e-08,6.958761055427214,0.0,0.0,-12.841914674510127,3.141652242806173,-14.366179963816768,2.8512754737392725,1.5242652893066406,2.345694623774915
10,0,adaptive,28,23,1.0054923140484353,2.3393603888900314,9.26625575190005,4.38927623171202,-8.30188538717187,2.6660388168015485,-8.041229299877001,2.51617098729351,-0.2606560769288436,2.812027910610622
10,0,clean,28,23,6.275784886401633,2.122693680433572,10.24636577523273,2.7630266269129065,-6.512033545452615,0.7737265694127589,-2.5360890989718228,1.7653815860944846,-3.975944477578868,1.414869890113501
10,0,refusal,28,23,63.42969977337381,30.894389766718596,15.193263758783756,3.33662679174631,-15.395174897235373,2.2291767255353356,-18.74657394575036,1.09288332387029,3.3513990485149883,1.516960152230037
10,0,static,28,23,-1.814054406207541e-08,3.3851641913174007,0.0,0.0,-11.286538155182548,3.78332980006689,-11.213558899142537,4.80308990549704,-0.07297928436942723,3.8882082809485436
10,1,adaptive,28,23,3.454772745785506,3.7226505565915136,11.635972852292268,4.1462465202081455,-8.558330898699554,2.5832529642819826,-10.005443987639055,2.3364555441285653,1.4471130785734758,1.3764364752177012
10,1,clean,28,23,12.044059432071188,5.3652433823665895,14.16590103895768,3.730022197687407,-2.132242852821946,3.8740407262276735,-7.485244688780411,3.585059444179493,5.353001822596011,0.8524104507253113
10,1,refusal,28,23,63.40142059326172,30.41890915000566,13.829699516296387,5.020160461535126,-11.251183219577955,2.1949301275028996,-17.12401937401813,0.9293132268642634,5.872836154440175,1.5517868149175593
10,1,static,28,23,3.498533497685972e-08,3.1358166671504137,0.0,0.0,-12.50512342867644,3.9020794896184587,-14.066647612530252,3.989119080244602,1.5615241838538128,2.113549855514726
10,2,adaptive,28,23,6.130932981553285,5.107933432193962,12.47652818845666,5.109550150023519,-9.336466167284096,2.14860504430564,-10.431303169416344,2.0959072697366974,1.09483700213225,1.319712873920071
10,2,clean,28,23,21.07023856950843,4.8834775158218005,15.654293060302734,3.3910034935806457,-10.601345559825068,1.0103522427191776,-14.9926467563795,1.298318793348313,4.391301196554433,1.0047298409474914
10,2,refusal,28,23,61.32091646609099,27.947492274796208,13.585538408030635,4.526660417933709,-12.315184427344281,2.195112876229571,-19.443148571511973,1.5609248721299902,7.127964144167692,3.34883798731216
10,2,static,28,23,2.0732050356657608e-08,3.964633895828997,0.0,0.0,-11.585666532101838,4.133580457990282,-12.524037775786027,3.6831895131376218,0.9383712436841882,1.4607362470190193
10,4,adaptive,28,23,3.1247632192528765,4.618581864068723,13.853349499080492,4.174299915984946,-8.5752148680065,2.936633591993797,-10.373403891273167,3.285362367849533,1.798189023266668,1.4226885893489385
10,4,clean,28,23,17.061567026635874,4.350958878896515,15.916149160136348,4.064792993363718,-13.946704190710317,3.0517693406683595,-18.310146226831105,4.140242966620003,4.36344201668449,2.4890285636123095
10,4,refusal,28,23,66.54298342829165,31.158659190546967,15.354870573334072,4.9770340405605635,-17.199667474497918,2.038922724615099,-19.61547905465831,2.1546740080507014,2.4158115801603897,0.6367477791285973
10,4,static,28,23,6.608341051184613e-08,4.267125935199512,0.0,0.0,-12.599067356275475,3.632043442623965,-12.454848787058955,5.072546985323011,-0.14421854848447052,4.037379470567665
10,8,adaptive,28,23,2.3228020123813464,3.445916354120263,13.702751101683015,5.487030287501811,-9.222812880640445,2.606770577985868,-11.336125436036482,2.2533405706796885,2.1133125553960386,1.557566010808301
10,8,clean,28,23,12.286872244399527,4.888218046291561,17.244187562362008,2.9806244720750477,-13.550698570583178,1.8622155135044558,-16.947182987047277,1.5891759997195303,3.3964844164641006,0.886505452045548
10,8,refusal,28,23,61.775272410848864,29.373212068195816,12.236273143602455,5.379711438449506,-17.856352723163106,2.9733151424171256,-19.947087453759234,2.1958045793670973,2.090734730596128,1.2350941961549768
10,8,static,28,23,-9.588573289954144e-08,3.897783479880019,0.0,0.0,-12.218638907308163,3.447724052340631,-13.94954838960067,3.2628393927790036,1.730909482292507,2.070931691841076
10,16,adaptive,28,23,-3.9371302594309268,5.0317894912921695,13.22055743764276,4.765442243698309,-9.50624674299489,2.9165787656419804,-11.327828884124756,2.769932870022004,1.821582141129867,2.3389889395588894
10,16,clean,28,23,21.6381660544354,12.428012073680753,16.957127115000848,5.206970297724683,-16.918938346531082,1.6407958943702825,-19.344834327697754,1.6814581038671608,2.425895981166674,0.8747416526995401
10,16,refusal,28,23,39.77723594333815,14.464274946420263,16.66200075978818,4.825463205992704,-16.160301415816598,3.7967074017973905,-17.60608026255732,2.404528050217367,1.4457788467407227,2.110567786877493
10,16,static,28,23,4.1464100713315216e-08,9.616755034869932,0.0,0.0,-13.20766135920649,3.394267646597176,-14.79611465205317,3.3512762071360744,1.5884532928466797,2.521983143830661
20,0,adaptive,28,23,-4.185361810352491,5.097545284003116,12.97057038804759,3.850673406728139,-8.988367456456889,3.2501000022838324,-10.338131588438284,3.155717662752685,1.3497641319813936,1.4475905062788912
20,0,clean,28,23,7.183839341868525,1.2163223033539334,11.708775810573412,2.4582481461702774,-6.512033545452615,0.7737265694127589,-2.5360890989718228,1.7653815860944846,-3.975944477578868,1.414869890113501
20,0,refusal,28,23,63.15990796296493,31.84897972857687,17.078506832537443,4.926935768919562,-17.5104399142058,1.818551406033056,-18.907353484112285,1.3858912308093152,1.3969135699064836,0.8350350118296745
20,0,static,28,23,2.0732050356657608e-08,6.733365142576609,0.0,0.0,-12.671817178311555,3.4871876177899703,-14.096098091291344,3.4180268394514517,1.4242809129797893,0.9184879311388213
20,1,adaptive,28,23,-2.7107298089110334,3.5341069631992443,12.804321454918902,4.679144084561378,-9.342441392981488,1.9899835042577818,-9.790989927623583,2.4669899824540455,0.44854853464209515,2.203668043309355
20,1,clean,28,23,13.949080467224121,2.9984931066284144,14.438108775926674,2.120636172630464,-2.132242852821946,3.8740407262276735,-7.485244688780411,3.585059444179493,5.353001822596011,0.8524104507253113
20,1,refusal,28,23,52.95475963924242,22.497191352371445,13.789495763571367,6.024908579663316,-16.52824704543404,3.4685201118637994,-18.431355351987094,2.295982429885232,1.9031083065530527,1.5981462221496188
20,1,static,28,23,1.814054406207541e-08,3.798842864612097,0.0,0.0,-13.663944617561672,1.8673398649073696,-15.255278006843898,1.838006769321078,1.5913333892822266,1.3229099514576363
20,2,adaptive,28,23,-1.418056581331336,7.44886481892824,12.776733968568886,5.714726448465354,-9.816397749859354,2.3397662538746826,-11.016026434691057,2.8000070039399954,1.1996286848317022,2.717920715212045
20,2,clean,28,23,22.609003574951835,9.299782996306918,16.26410318457562,3.2440787818197445,-10.601345559825068,1.0103522427191776,-14.9926467563795,1.298318793348313,4.391301196554433,1.0047298409474914
20,2,refusal,28,23,51.029218176136844,20.611722088487053,14.207794687022334,4.171070774003037,-14.853836930316428,3.353209472121428,-17.759703221528426,2.1615246600000977,2.905866291211999,1.7772385757572051
20,2,static,28,23,-6.349190421726393e-08,7.825368596158317,0.0,0.0,-12.118010209954303,3.0868824041305665,-13.948797060095746,3.393382482102023,1.8307868501414424,1.5979864239925905
20,4,adaptive,28,23,-1.6114259310390637,5.552008842307887,14.84338198537412,3.2002940591779256,-9.835433192875074,2.6251773725342455,-10.335889500120413,3.092804255327875,0.5004563072453374,1.9976746287344196
20,4,clean,28,23,22.146594752436098,7.484986406822495,16.095189633576766,3.8987491381101047,-13.946704190710317,3.0517693406683595,-18.310146226831105,4.140242966620003,4.36344201668449,2.4890285636123095
20,4,refusal,28,23,49.23835563659668,14.759594286796618,15.960466923921004,3.6835457086199295,-14.715893517369809,3.7005544198876876,-17.619474701259445,2.4484771087618453,2.9035811631575874,1.8865343368468996
20,4,static,28,23,5.960464477539063e-08,5.6927643873107465,0.0,0.0,-14.656537636466648,2.324137629295977,-15.59217063240383,2.260121150248343,0.9356329959371815,1.550990487086361
20,8,adaptive,28,23,-4.662375635426978,3.1680508294125955,12.894747796265975,4.075408128136703,-9.115273600039275,2.5858576379816207,-9.59431150685186,2.7529732310924433,0.4790379171786101,2.776361955778567
20,8,clean,28,23,14.201459159021793,6.383936666926377,18.71326964834462,2.769201069957364,-13.550698570583178,1.8622155135044558,-16.947182987047277,1.5891759997195303,3.3964844164641006,0.886505452045548
20,8,refusal,28,23,37.34344664863918,15.06072995835026,14.455355685690176,4.349963299986257,-15.413246963335121,4.274854473134128,-18.008346308832582,3.1044393504138057,2.5950993247654126,2.233530255045883
20,8,static,28,23,-6.997066995371944e-08,8.229138725515508,0.0,0.0,-13.316116706184719,2.584390424344577,-14.851394031358803,2.2897541998053,1.5352773251740828,1.6768695222103747
20,16,adaptive,28,23,-3.7098606332488684,5.392885466673475,14.621022856753806,4.197996227962314,-10.390074045761772,2.5116525233952403,-11.762619018554688,2.3646892883317183,1.3725449727929158,2.204946022331554
