k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,kl_to_static_mean,kl_to_static_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,0,adaptive,28,23,4.957414772199548,0.17032203041432764,8.035777154176131,2.2295942015122554,-4.616754905037258,0.18418151534587351,-3.7206587480462114,0.12923340535484446,-0.8960961569910464,0.10609660883506312
5,0,clean,28,23,15.162602175836978,1.8047489898487246,8.644819000492925,2.666382466347178,-5.893824909044349,0.9735389113559039,-1.5795005054577538,1.8897181635392397,-4.314324399699336,1.9125593942512948
5,0,refusal,28,23,62.67621454985245,18.001172257616442,10.154955314553302,3.4321370315317066,-10.807085679925006,2.9939130816067614,-16.644990008810293,2.8514323858307775,5.837904328885286,1.1145334977712156
5,0,static,28,23,-1.5549037767493206e-08,3.810573528267433,0.0,0.0,-2.4544288775195247,3.2834008304177744,-8.662574042444644,2.7367642471880633,6.208145151967588,1.386065341245991
5,1,adaptive,28,23,13.305310912754225,3.9163232835410047,7.973867701447529,3.207806911738367,-0.6690307026324065,0.36259912523060367,-8.693912443907365,1.2172354270039092,8.024881736091945,1.2159485588844259
5,1,clean,28,23,8.166386251864227,8.406970767394755,8.14102303997978,3.8037487245052866,-2.1620182531035463,2.7980056313540276,-9.162840718808381,2.4196014361650677,7.000822461169699,1.0287832287875662
5,1,refusal,28,23,70.3511493102364,20.546704978263865,10.260480714880902,3.557593953577414,-9.483765726504119,2.053815364012433,-14.31017780303955,1.9986899670037845,4.826412097267482,1.6211654238258084
5,1,static,28,23,1.6585640285326086e-07,13.270952470551665,0.0,0.0,-6.992458200973013,3.3623245079627306,-11.396335290825885,2.5225493922633824,4.403877092444378,1.870228656932628
5,2,adaptive,28,23,41.43617298292077,1.5901505739801118,12.635903089185772,4.603769654916607,-10.848535827968432,0.8311739874037049,-15.265933658765709,1.0507275670722087,4.417397830797278,0.41049476543853197
5,2,clean,28,23,22.982927457146022,20.426274820122313,10.302319998093678,6.254153086400486,-8.628366947174072,2.147797951342325,-12.189637660980225,3.003245232909982,3.5612707345382026,2.733777147831832
5,2,refusal,28,23,55.316811644512676,25.63118078730192,16.3056612636732,4.165780508794332,-13.697565140931502,5.145342549086056,-17.63108945929486,4.062534411735663,3.9335243183633555,1.6833575950559299
5,2,static,28,23,-2.7988267981487774e-07,12.377636914357673,0.0,0.0,-9.51620545724164,5.5955383303160735,-14.0787818328194,4.423902383559141,4.562576356141464,2.1086628082911574
