k,response_step,condition,layer,n,augmented_safety_projection_mean,mixed_safety_projection_mean,delta_mixed_minus_augmented_safety_projection_mean,augmented_kl_to_static_mean,mixed_kl_to_static_mean,delta_mixed_minus_augmented_kl_to_static_mean,augmented_refusal_logmass_mean,mixed_refusal_logmass_mean,delta_mixed_minus_augmented_refusal_logmass_mean,augmented_compliance_logmass_mean,mixed_compliance_logmass_mean,delta_mixed_minus_augmented_compliance_logmass_mean,augmented_refusal_margin_mean,mixed_refusal_margin_mean,delta_mixed_minus_augmented_refusal_margin_mean
5,0,adaptive,28,23,0.6155047183451445,4.957414772199548,4.341910053854403,10.898779599562936,8.035777154176131,-2.8630024453868046,-5.545218301855999,-4.616754905037258,0.9284633968187412,-4.028780771338421,-3.7206587480462114,0.3081220232922095,-1.5164375305175781,-0.8960961569910464,0.6203413735265317
5,1,adaptive,28,23,4.679699014062467,13.305310912754225,8.625611898691758,10.664744190547777,7.973867701447529,-2.6908764891002486,-5.286362730938455,-0.6690307026324065,4.617332028306048,-7.931696974712869,-8.693912443907365,-0.762215469194496,2.645334243774414,8.024881736091945,5.379547492317531
5,2,adaptive,28,23,0.5087168981199679,41.43617298292077,40.9274560848008,9.333941988323046,12.635903089185772,3.3019611008627265,-12.711311526920484,-10.848535827968432,1.8627756989520527,-4.407026539678159,-15.265933658765709,-10.85890711908755,-8.304284987242326,4.417397830797278,12.721682818039604
5,4,adaptive,28,23,14.320271567158077,10.57882833480835,-3.7414432323497273,14.906410942906918,16.92459473443096,2.0181837915240433,-9.073759659476902,-8.281521859376326,0.7922378001005761,-11.159895026165506,-16.401353587274965,-5.241458561109459,2.086135366688604,8.119831727898639,6.033696361210035
5,8,adaptive,28,23,1.3065163622731748,12.901759230572244,11.595242868299069,11.01077719875004,22.48683314392142,11.47605594517138,-10.334709416265072,-16.80807513776033,-6.473365721495258,-11.711852778559146,-21.23083844392196,-9.518985665362814,1.3771433622940727,4.422763306161632,3.045619943867559
5,16,adaptive,28,23,7.192135365112968,2.7254455931808637,-4.466689771932105,14.336073937623397,21.263915064322806,6.927841126699409,-12.10792122716489,-19.935261830039646,-7.827340602874756,-14.273376589236053,-22.088532572207242,-7.81515598297119,2.1654553620711616,2.153270721435547,-0.012184640635614752
10,0,adaptive,28,23,1.0054923140484353,2.7747419683829597,1.7692496543345244,9.26625575190005,5.190692432548689,-4.075563319351362,-8.30188538717187,-2.09358646493891,6.208298922232959,-8.041229299877001,-6.653202927630881,1.3880263722461201,-0.2606560769288436,4.5596164827761445,4.820272559704988
10,1,adaptive,28,23,3.454772745785506,-2.764647525289784,-6.21942027107529,11.635972852292268,6.686569862725699,-4.949402989566568,-8.558330898699554,-7.7458915380032165,0.8124393606963372,-10.005443987639055,-12.876128818677818,-2.870684831038764,1.4471130785734758,5.1302372476328975,3.683124169059422
10,2,adaptive,28,23,6.130932981553285,-1.8189390042553777,-7.949871985808663,12.47652818845666,9.251650423507469,-3.2248777649491913,-9.336466167284096,-8.410516153211178,0.9259500140729173,-10.431303169416344,-13.886173331219217,-3.454870161802873,1.09483700213225,5.475657193557076,4.380820191424826
10,4,adaptive,28,23,3.1247632192528765,-3.5159012636412745,-6.640664482894151,13.853349499080492,11.981555338955925,-1.8717941601245673,-8.5752148680065,-7.557217675706615,1.0179971922998847,-10.373403891273167,-15.745003928308902,-5.371600037035735,1.798189023266668,8.187786288883375,6.3895972656167075
10,8,adaptive,28,23,2.3228020123813464,2.077858251074086,-0.24494376130726048,13.702751101683015,14.12530508704114,0.4225539853581246,-9.222812880640445,-16.753720749979433,-7.5309078693389875,-11.336125436036482,-20.8149066593336,-9.47878122329712,2.1133125553960386,4.061185919720193,1.9478733643241548
10,16,adaptive,28,23,-3.9371302594309268,-3.085774193639341,0.851356065791586,13.22055743764276,12.973373989263168,-0.24718344837959272,-9.50624674299489,-15.258300366608992,-5.752053623614103,-11.327828884124756,-20.058468279631242,-8.730639395506486,1.821582141129867,4.800167913022249,2.978585771892382
