target_model,prefix_source,k,asr,num_success,num_tot,ci95_low,ci95_high,model_path,custom_prefix_path,file
llama3b_static_augmented,llama3b_mined,5,0.03488372093023256,3,86,0.01193379807740838,0.09760871102560764,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k5.json
llama3b_static_augmented,llama3b_mined,10,0.023255813953488372,2,86,0.006400926204270858,0.08088014562632057,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k10.json
llama3b_static_augmented,llama3b_mined,20,0.10465116279069768,9,86,0.056040897145363075,0.18707023559220054,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k20.json
llama3b_static_augmented,llama3b_mined,40,0.26744186046511625,23,86,0.18532084622257783,0.36945040832893017,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k40.json
llama3b_static_augmented,llama3b_mined,full,0.19767441860465115,17,86,0.12724351812233703,0.2939591127946234,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__kfull.json
llama3b_static_augmented,qwen4b_mined,5,0.4861111111111111,35,72,0.37432674529071863,0.5993024539480719,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k5.json
llama3b_static_augmented,qwen4b_mined,10,0.3888888888888889,28,72,0.2846571438524779,0.5043764500578461,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k10.json
llama3b_static_augmented,qwen4b_mined,20,0.4444444444444444,32,72,0.33539070561321394,0.559126091341948,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k20.json
llama3b_static_augmented,qwen4b_mined,40,0.4166666666666667,30,72,0.30985217474739846,0.5319230206853446,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k40.json
llama3b_static_augmented,qwen4b_mined,full,0.4861111111111111,35,72,0.37432674529071863,0.5993024539480719,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__kfull.json
