target_model,prefix_source,k,asr,num_success,num_tot,ci95_low,ci95_high,model_path,custom_prefix_path,file
llama3b_static_augmented,llama3b_mined,5,0.03680981595092025,6,163,0.016977515813507586,0.07797165888604399,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k5.json
llama3b_static_augmented,llama3b_mined,10,0.08588957055214724,14,163,0.05185100961994354,0.13899759027700656,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k10.json
llama3b_static_augmented,llama3b_mined,20,0.15950920245398773,26,163,0.11123935488469552,0.2234583828083523,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k20.json
llama3b_static_augmented,llama3b_mined,40,0.2147239263803681,35,163,0.1586385137884276,0.2839460772516935,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__k40.json
llama3b_static_augmented,llama3b_mined,full,0.3067484662576687,50,163,0.24108331947814526,0.38131269380709815,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__llama3b_mined__kfull.json
llama3b_static_augmented,qwen4b_mined,5,0.08442776735459662,45,533,0.06369547443682685,0.11110745346453202,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k5.json
llama3b_static_augmented,qwen4b_mined,10,0.1050656660412758,56,533,0.0817993221274256,0.13398404727770327,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k10.json
llama3b_static_augmented,qwen4b_mined,20,0.12570356472795496,67,533,0.1002110530763993,0.15655275783249953,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k20.json
llama3b_static_augmented,qwen4b_mined,40,0.14821763602251406,79,533,0.12057308449928585,0.18089666259554388,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__k40.json
llama3b_static_augmented,qwen4b_mined,full,0.2101313320825516,112,533,0.17768058174592916,0.24673048986021057,tinker://de5327cc-9cda-57db-a585-4134fa998428:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/llama3b_static_augmented__qwen4b_mined__kfull.json
qwen4b_static_augmented,llama3b_mined,5,0.012269938650306749,2,163,0.003371334406110614,0.0436281276947417,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k5.json
qwen4b_static_augmented,llama3b_mined,10,0.018404907975460124,3,163,0.006278750696494414,0.05270813955403271,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k10.json
qwen4b_static_augmented,llama3b_mined,20,0.4662576687116564,76,163,0.39133423915437776,0.5427349060224107,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k20.json
qwen4b_static_augmented,llama3b_mined,40,0.558282208588957,91,163,0.4815762215387007,0.63230434588321,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__k40.json
qwen4b_static_augmented,llama3b_mined,full,0.5766871165644172,94,163,0.4999290037136599,0.6499138481572753,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/adaptive_prefixes/mined_augmented_tinker.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__llama3b_mined__kfull.json
qwen4b_static_augmented,qwen4b_mined,5,0.33583489681050654,179,533,0.297041492619608,0.37697772269131247,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k5.json
qwen4b_static_augmented,qwen4b_mined,10,0.3921200750469043,209,533,0.3515854364324286,0.4341986193433191,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k10.json
qwen4b_static_augmented,qwen4b_mined,20,0.4427767354596623,236,533,0.4011665295082399,0.48520588268585235,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k20.json
qwen4b_static_augmented,qwen4b_mined,40,0.4878048780487805,260,533,0.44560904615582386,0.5301752384101301,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__k40.json
qwen4b_static_augmented,qwen4b_mined,full,0.50093808630394,267,533,0.4586358591440624,0.5432268881970181,tinker://d9724cac-08ad-5692-bce4-3a17cf94dfc2:train:0/sampler_weights/final,logs/qwen/qwen3_4b_static_augmented/adaptive_mining/mined_adaptive_prefixes.jsonl,logs/cross_adaptive_original_augmented_qwen4b_llama3b/qwen4b_static_augmented__qwen4b_mined__kfull.json
