target_model,prefix_source,k,asr,num_success,num_tot,ci95_low,ci95_high,model_path,custom_prefix_path,file
llama3b,llama3b_mined,5,0.1744186046511628,15,86,0.10864769842075103,0.2680320579513602,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__llama3b_mined__k5.json
llama3b,llama3b_mined,10,0.1744186046511628,15,86,0.10864769842075103,0.2680320579513602,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__llama3b_mined__k10.json
llama3b,llama3b_mined,20,0.2558139534883721,22,86,0.17543075268015518,0.35707906459892824,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__llama3b_mined__k20.json
llama3b,llama3b_mined,40,0.3488372093023256,30,86,0.2565368354800985,0.4540644799783818,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__llama3b_mined__k40.json
llama3b,llama3b_mined,full,0.36046511627906974,31,86,0.2669696039428191,0.46589314878808563,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__llama3b_mined__kfull.json
llama3b,qwen4b_mined,5,0.1388888888888889,10,72,0.0772273077029898,0.23713187250556306,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__qwen4b_mined__k5.json
llama3b,qwen4b_mined,10,0.08333333333333333,6,72,0.038752424956949666,0.17012355220676517,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__qwen4b_mined__k10.json
llama3b,qwen4b_mined,20,0.3611111111111111,26,72,0.25981679706174077,0.4764751953261641,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__qwen4b_mined__k20.json
llama3b,qwen4b_mined,40,0.5833333333333334,42,72,0.46807697931465553,0.6901478252526017,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__qwen4b_mined__k40.json
llama3b,qwen4b_mined,full,0.5416666666666666,39,72,0.4273986728598905,0.651713729423738,tinker://30dedf01-9620-5c25-937c-d7dce7a5b58e:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/llama3b__qwen4b_mined__kfull.json
qwen4b,llama3b_mined,5,0.06976744186046512,6,86,0.032365414509921336,0.14396140641036848,tinker://27538faa-0927-5002-aef1-bcee521996f7:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/qwen4b__llama3b_mined__k5.json
qwen4b,llama3b_mined,10,0.023255813953488372,2,86,0.006400926204270858,0.08088014562632057,tinker://27538faa-0927-5002-aef1-bcee521996f7:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/qwen4b__llama3b_mined__k10.json
qwen4b,llama3b_mined,20,0.05813953488372093,5,86,0.025086935621079658,0.12897844802678554,tinker://27538faa-0927-5002-aef1-bcee521996f7:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/qwen4b__llama3b_mined__k20.json
qwen4b,llama3b_mined,40,0.1511627906976744,13,86,0.09052122983132334,0.24163565199593867,tinker://27538faa-0927-5002-aef1-bcee521996f7:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/qwen4b__llama3b_mined__k40.json
qwen4b,llama3b_mined,full,0.2441860465116279,21,86,0.16561965059864148,0.34462872940801736,tinker://27538faa-0927-5002-aef1-bcee521996f7:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/qwen4b__llama3b_mined__kfull.json
qwen4b,qwen4b_mined,5,0.5,36,72,0.3874709230948976,0.6125290769051024,tinker://27538faa-0927-5002-aef1-bcee521996f7:train:0/sampler_weights/final,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl,logs/cross_adaptive_qwen4b_llama3b/qwen4b__qwen4b_mined__k5.json
