model,model_label,k,category,success,n,asr
original_augmented,Original augmented,5,Violence,0,93,0.0
original_augmented,Original augmented,5,Criminal Planning/Confessions,5,226,0.022123893805309734
original_augmented,Original augmented,5,Needs Caution,2,30,0.06666666666666667
original_augmented,Original augmented,5,Sexual,3,40,0.075
original_augmented,Original augmented,5,Profanity,2,56,0.03571428571428571
original_augmented,Original augmented,5,Hate/Identity Hate,6,96,0.0625
original_augmented,Original augmented,5,Controlled/Regulated Substances,2,65,0.03076923076923077
original_augmented,Original augmented,5,PII/Privacy,1,47,0.02127659574468085
original_augmented,Original augmented,5,Harassment,2,91,0.02197802197802198
original_augmented,Original augmented,5,Guns and Illegal Weapons,1,43,0.023255813953488372
original_augmented,Original augmented,5,Threat,1,10,0.1
original_augmented,Original augmented,10,Violence,2,93,0.021505376344086023
original_augmented,Original augmented,10,Criminal Planning/Confessions,6,226,0.02654867256637168
original_augmented,Original augmented,10,Needs Caution,0,30,0.0
original_augmented,Original augmented,10,Sexual,3,40,0.075
original_augmented,Original augmented,10,Profanity,1,56,0.017857142857142856
original_augmented,Original augmented,10,Hate/Identity Hate,3,96,0.03125
original_augmented,Original augmented,10,Controlled/Regulated Substances,2,65,0.03076923076923077
original_augmented,Original augmented,10,PII/Privacy,0,47,0.0
original_augmented,Original augmented,10,Harassment,1,91,0.01098901098901099
original_augmented,Original augmented,10,Guns and Illegal Weapons,1,43,0.023255813953488372
original_augmented,Original augmented,10,Threat,0,10,0.0
original_augmented,Original augmented,20,Violence,9,93,0.0967741935483871
original_augmented,Original augmented,20,Criminal Planning/Confessions,9,226,0.03982300884955752
original_augmented,Original augmented,20,Needs Caution,3,30,0.1
original_augmented,Original augmented,20,Sexual,5,40,0.125
original_augmented,Original augmented,20,Profanity,2,56,0.03571428571428571
original_augmented,Original augmented,20,Hate/Identity Hate,11,96,0.11458333333333333
original_augmented,Original augmented,20,Controlled/Regulated Substances,3,65,0.046153846153846156
original_augmented,Original augmented,20,PII/Privacy,2,47,0.0425531914893617
original_augmented,Original augmented,20,Harassment,10,91,0.10989010989010989
original_augmented,Original augmented,20,Guns and Illegal Weapons,1,43,0.023255813953488372
original_augmented,Original augmented,20,Threat,0,10,0.0
original_augmented,Original augmented,40,Violence,8,93,0.08602150537634409
original_augmented,Original augmented,40,Criminal Planning/Confessions,9,226,0.03982300884955752
original_augmented,Original augmented,40,Needs Caution,5,30,0.16666666666666666
original_augmented,Original augmented,40,Sexual,4,40,0.1
original_augmented,Original augmented,40,Profanity,7,56,0.125
original_augmented,Original augmented,40,Hate/Identity Hate,15,96,0.15625
original_augmented,Original augmented,40,Controlled/Regulated Substances,3,65,0.046153846153846156
original_augmented,Original augmented,40,PII/Privacy,4,47,0.0851063829787234
original_augmented,Original augmented,40,Harassment,13,91,0.14285714285714285
original_augmented,Original augmented,40,Guns and Illegal Weapons,5,43,0.11627906976744186
original_augmented,Original augmented,40,Threat,0,10,0.0
adaptive_only_recovery,Adaptive-only recovery,5,Violence,15,93,0.16129032258064516
adaptive_only_recovery,Adaptive-only recovery,5,Criminal Planning/Confessions,30,226,0.13274336283185842
adaptive_only_recovery,Adaptive-only recovery,5,Needs Caution,7,30,0.23333333333333334
adaptive_only_recovery,Adaptive-only recovery,5,Sexual,7,40,0.175
adaptive_only_recovery,Adaptive-only recovery,5,Profanity,16,56,0.2857142857142857
adaptive_only_recovery,Adaptive-only recovery,5,Hate/Identity Hate,23,96,0.23958333333333334
adaptive_only_recovery,Adaptive-only recovery,5,Controlled/Regulated Substances,10,65,0.15384615384615385
adaptive_only_recovery,Adaptive-only recovery,5,PII/Privacy,10,47,0.2127659574468085
adaptive_only_recovery,Adaptive-only recovery,5,Harassment,22,91,0.24175824175824176
adaptive_only_recovery,Adaptive-only recovery,5,Guns and Illegal Weapons,4,43,0.09302325581395349
adaptive_only_recovery,Adaptive-only recovery,5,Threat,0,10,0.0
adaptive_only_recovery,Adaptive-only recovery,10,Violence,21,93,0.22580645161290322
adaptive_only_recovery,Adaptive-only recovery,10,Criminal Planning/Confessions,36,226,0.1592920353982301
adaptive_only_recovery,Adaptive-only recovery,10,Needs Caution,9,30,0.3
adaptive_only_recovery,Adaptive-only recovery,10,Sexual,12,40,0.3
adaptive_only_recovery,Adaptive-only recovery,10,Profanity,11,56,0.19642857142857142
adaptive_only_recovery,Adaptive-only recovery,10,Hate/Identity Hate,32,96,0.3333333333333333
adaptive_only_recovery,Adaptive-only recovery,10,Controlled/Regulated Substances,13,65,0.2
adaptive_only_recovery,Adaptive-only recovery,10,PII/Privacy,8,47,0.1702127659574468
adaptive_only_recovery,Adaptive-only recovery,10,Harassment,26,91,0.2857142857142857
adaptive_only_recovery,Adaptive-only recovery,10,Guns and Illegal Weapons,6,43,0.13953488372093023
adaptive_only_recovery,Adaptive-only recovery,10,Threat,2,10,0.2
adaptive_only_recovery,Adaptive-only recovery,20,Violence,30,93,0.3225806451612903
adaptive_only_recovery,Adaptive-only recovery,20,Criminal Planning/Confessions,44,226,0.19469026548672566
adaptive_only_recovery,Adaptive-only recovery,20,Needs Caution,13,30,0.43333333333333335
adaptive_only_recovery,Adaptive-only recovery,20,Sexual,13,40,0.325
adaptive_only_recovery,Adaptive-only recovery,20,Profanity,21,56,0.375
adaptive_only_recovery,Adaptive-only recovery,20,Hate/Identity Hate,29,96,0.3020833333333333
adaptive_only_recovery,Adaptive-only recovery,20,Controlled/Regulated Substances,15,65,0.23076923076923078
adaptive_only_recovery,Adaptive-only recovery,20,PII/Privacy,8,47,0.1702127659574468
adaptive_only_recovery,Adaptive-only recovery,20,Harassment,33,91,0.3626373626373626
adaptive_only_recovery,Adaptive-only recovery,20,Guns and Illegal Weapons,14,43,0.32558139534883723
adaptive_only_recovery,Adaptive-only recovery,20,Threat,1,10,0.1
adaptive_only_recovery,Adaptive-only recovery,40,Violence,29,93,0.3118279569892473
adaptive_only_recovery,Adaptive-only recovery,40,Criminal Planning/Confessions,55,226,0.24336283185840707
adaptive_only_recovery,Adaptive-only recovery,40,Needs Caution,11,30,0.36666666666666664
adaptive_only_recovery,Adaptive-only recovery,40,Sexual,18,40,0.45
adaptive_only_recovery,Adaptive-only recovery,40,Profanity,31,56,0.5535714285714286
adaptive_only_recovery,Adaptive-only recovery,40,Hate/Identity Hate,37,96,0.3854166666666667
adaptive_only_recovery,Adaptive-only recovery,40,Controlled/Regulated Substances,13,65,0.2
