k,left,right,left_asr,right_asr,right_minus_left,both_success,left_only,right_only,neither,discordant
5,original_augmented,mixed_50_50_recovery,0.038,0.06,0.022,3,16,27,454,43
5,adaptive_only_recovery,mixed_50_50_recovery,0.198,0.06,-0.138,9,90,21,380,111
5,original_augmented,adaptive_only_recovery,0.038,0.198,0.16,7,12,92,389,104
10,original_augmented,mixed_50_50_recovery,0.028,0.068,0.04000000000000001,3,11,31,455,42
10,adaptive_only_recovery,mixed_50_50_recovery,0.218,0.068,-0.15,12,97,22,369,119
10,original_augmented,adaptive_only_recovery,0.028,0.218,0.19,6,8,103,383,111
20,original_augmented,mixed_50_50_recovery,0.074,0.094,0.020000000000000004,3,34,44,419,78
20,adaptive_only_recovery,mixed_50_50_recovery,0.252,0.094,-0.158,17,109,30,344,139
20,original_augmented,adaptive_only_recovery,0.074,0.252,0.178,13,24,113,350,137
40,original_augmented,mixed_50_50_recovery,0.08,0.112,0.032,11,29,45,415,74
40,adaptive_only_recovery,mixed_50_50_recovery,0.308,0.112,-0.196,30,124,26,320,150
40,original_augmented,adaptive_only_recovery,0.08,0.308,0.22799999999999998,20,20,134,326,154
