model,model_label,k,n,success,asr,file
original_augmented,Original augmented,5,500,19,0.038,logs/final_adaptive_ood_package/aegis_eval/original_augmented_aegis_k5.json
original_augmented,Original augmented,10,500,14,0.028,logs/final_adaptive_ood_package/aegis_eval/original_augmented_aegis_k10.json
original_augmented,Original augmented,20,500,37,0.074,logs/final_adaptive_ood_package/aegis_eval/original_augmented_aegis_k20.json
original_augmented,Original augmented,40,500,40,0.08,logs/final_adaptive_ood_package/aegis_eval/original_augmented_aegis_k40.json
adaptive_only_recovery,Adaptive-only recovery,5,500,99,0.198,logs/final_adaptive_ood_package/aegis_eval/adaptive_only_recovery_aegis_k5.json
adaptive_only_recovery,Adaptive-only recovery,10,500,109,0.218,logs/final_adaptive_ood_package/aegis_eval/adaptive_only_recovery_aegis_k10.json
adaptive_only_recovery,Adaptive-only recovery,20,500,126,0.252,logs/final_adaptive_ood_package/aegis_eval/adaptive_only_recovery_aegis_k20.json
adaptive_only_recovery,Adaptive-only recovery,40,500,154,0.308,logs/final_adaptive_ood_package/aegis_eval/adaptive_only_recovery_aegis_k40.json
mixed_50_50_recovery,Mixed 50/50 recovery,5,500,30,0.06,logs/final_adaptive_ood_package/aegis_eval/mixed_50_50_recovery_aegis_k5.json
mixed_50_50_recovery,Mixed 50/50 recovery,10,500,34,0.068,logs/final_adaptive_ood_package/aegis_eval/mixed_50_50_recovery_aegis_k10.json
mixed_50_50_recovery,Mixed 50/50 recovery,20,500,47,0.094,logs/final_adaptive_ood_package/aegis_eval/mixed_50_50_recovery_aegis_k20.json
mixed_50_50_recovery,Mixed 50/50 recovery,40,500,56,0.112,logs/final_adaptive_ood_package/aegis_eval/mixed_50_50_recovery_aegis_k40.json
