comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std,probe_position
refusal_prefix-plain,0,32,32,1.7442946434020996,1.7442946434020996,0.0,1.7442947626113892,0.0,1.0000001192092896,0.0,final_token
refusal_prefix-plain,1,32,32,2.5358693599700928,2.5579566955566406,0.011558673344552517,2.5432193279266357,0.013377307914197445,0.9942371845245361,0.0020668539218604565,final_token
refusal_prefix-plain,2,32,32,3.410565137863159,3.4371724128723145,0.018100105226039886,3.4103965759277344,0.020918013527989388,0.9922088384628296,0.0027500735595822334,final_token
refusal_prefix-plain,3,32,32,4.9717631340026855,5.030022621154785,0.06041768565773964,4.980070114135742,0.05911317467689514,0.9900749325752258,0.0028671948239207268,final_token
refusal_prefix-plain,4,32,32,5.805563926696777,5.935072898864746,0.07305266708135605,5.80352783203125,0.0700136199593544,0.9778576493263245,0.006061334628611803,final_token
refusal_prefix-plain,5,32,32,6.580041408538818,6.830965518951416,0.08150053024291992,6.571036338806152,0.09980425983667374,0.9620110988616943,0.014112896285951138,final_token
refusal_prefix-plain,6,32,32,6.909413814544678,7.315648078918457,0.1271979808807373,6.877633571624756,0.15331201255321503,0.9403911232948303,0.025689568370580673,final_token
refusal_prefix-plain,7,32,32,7.7204060554504395,8.218631744384766,0.21479113399982452,7.6343231201171875,0.17410080134868622,0.9295601844787598,0.03252503275871277,final_token
refusal_prefix-plain,8,32,32,7.988597869873047,8.628622055053711,0.25836095213890076,7.888835906982422,0.2164904773235321,0.9150699377059937,0.03643696755170822,final_token
refusal_prefix-plain,9,32,32,8.298851013183594,9.003657341003418,0.3158476948738098,8.088013648986816,0.31210118532180786,0.8991538882255554,0.04135366156697273,final_token
refusal_prefix-plain,10,32,32,8.177360534667969,8.973543167114258,0.30510926246643066,7.914177417755127,0.33987751603126526,0.8828554153442383,0.04563521593809128,final_token
refusal_prefix-plain,11,32,32,8.655144691467285,9.482453346252441,0.2609352171421051,8.32680892944336,0.4273287057876587,0.8788789510726929,0.051750972867012024,final_token
refusal_prefix-plain,12,32,32,9.37240982055664,10.218334197998047,0.26670780777931213,9.004533767700195,0.4751613140106201,0.8821111917495728,0.055772509425878525,final_token
refusal_prefix-plain,13,32,32,9.995329856872559,10.801290512084961,0.21890780329704285,9.585264205932617,0.5563828349113464,0.8877193927764893,0.05304771289229393,final_token
refusal_prefix-plain,14,32,32,11.517584800720215,12.402819633483887,0.3117493689060211,11.155130386352539,0.6280170679092407,0.8995518684387207,0.04778943955898285,final_token
refusal_prefix-plain,15,32,32,13.237692832946777,14.187725067138672,0.3576125502586365,12.884248733520508,0.6442862153053284,0.9083717465400696,0.044154297560453415,final_token
refusal_prefix-plain,16,32,32,14.23987102508545,15.143741607666016,0.4742373526096344,13.652015686035156,0.7031746506690979,0.9017997980117798,0.04346317797899246,final_token
refusal_prefix-plain,17,32,32,16.210540771484375,17.12133026123047,0.4928664565086365,15.539474487304688,0.7277647256851196,0.9078369140625,0.03892813250422478,final_token
refusal_prefix-plain,18,32,32,17.169918060302734,18.186765670776367,0.41343799233436584,16.53764533996582,0.67196124792099,0.9096062183380127,0.037909820675849915,final_token
refusal_prefix-plain,19,32,32,18.55321502685547,19.815181732177734,0.4123455882072449,17.943763732910156,0.8301898241043091,0.9057168960571289,0.04085587337613106,final_token
refusal_prefix-plain,20,32,32,21.07898712158203,22.527923583984375,0.46400731801986694,20.4149112701416,0.899685263633728,0.9063723087310791,0.03917643427848816,final_token
refusal_prefix-plain,21,32,32,23.302690505981445,24.866378784179688,0.582358717918396,22.488082885742188,0.99720698595047,0.9045878648757935,0.0395609587430954,final_token
refusal_prefix-plain,22,32,32,25.423891067504883,27.212474822998047,0.7882021069526672,24.58799171447754,1.2246348857879639,0.9038300514221191,0.04286867007613182,final_token
refusal_prefix-plain,23,32,32,27.579397201538086,29.55217933654785,0.8752546906471252,26.673261642456055,1.284350872039795,0.9029661417007446,0.04317329078912735,final_token
refusal_prefix-plain,24,32,32,31.31813621520996,33.45815658569336,1.0190927982330322,30.404335021972656,1.578397274017334,0.9088907837867737,0.04206075519323349,final_token
refusal_prefix-plain,25,32,32,33.90707778930664,36.301509857177734,1.2193866968154907,32.97843551635742,1.8186105489730835,0.9085463285446167,0.04220644012093544,final_token
refusal_prefix-plain,26,32,32,38.44092559814453,41.26852798461914,1.499442219734192,37.442291259765625,2.353966474533081,0.9071440696716309,0.044654276221990585,final_token
refusal_prefix-plain,27,32,32,43.29914093017578,46.93656539916992,1.861246943473816,42.58831787109375,2.9321274757385254,0.9069499969482422,0.04462132602930069,final_token
