iteration,k,left_family,right_family,n,left_asr,right_asr,right_minus_left_asr,both_success,left_only,right_only,both_safe,mcnemar_exact_p,discordant_odds_left_over_right
1,5,llama3b,qwen4b,330,0.15454545454545454,0.10303030303030303,-0.051515151515151514,4,47,30,249,0.06754925145902678,1.5666666666666667
1,10,llama3b,qwen4b,330,0.1787878787878788,0.1484848484848485,-0.030303030303030304,8,51,41,230,0.3481412903192065,1.2439024390243902
1,20,llama3b,qwen4b,330,0.22727272727272727,0.20606060606060606,-0.021212121212121213,20,55,48,207,0.5546010666648742,1.1458333333333333
1,40,llama3b,qwen4b,330,0.27575757575757576,0.2909090909090909,0.015151515151515152,35,56,61,178,0.7117032769279404,0.9180327868852459
2,5,llama3b,qwen4b,330,0.05757575757575758,0.00909090909090909,-0.048484848484848485,0,19,3,308,0.0008554458618164062,6.333333333333333
2,10,llama3b,qwen4b,330,0.051515151515151514,0.0030303030303030303,-0.048484848484848485,0,17,1,312,0.00014495849609375,17.0
2,20,llama3b,qwen4b,330,0.09393939393939393,0.015151515151515152,-0.07878787878787878,2,29,3,296,2.5560148060321808e-06,9.666666666666666
2,40,llama3b,qwen4b,330,0.09393939393939393,0.030303030303030304,-0.06363636363636363,3,28,7,292,0.0005082604475319386,4.0
3,5,llama3b,qwen4b,330,0.030303030303030304,0.0,-0.030303030303030304,0,10,0,320,0.001953125,
3,10,llama3b,qwen4b,330,0.048484848484848485,0.0030303030303030303,-0.045454545454545456,0,16,1,313,0.000274658203125,16.0
3,20,llama3b,qwen4b,330,0.045454545454545456,0.012121212121212121,-0.03333333333333333,0,15,4,311,0.0192108154296875,3.75
3,40,llama3b,qwen4b,330,0.05454545454545454,0.015151515151515152,-0.03939393939393939,2,16,3,309,0.004425048828125,5.333333333333333
