family,k,from_iteration,to_iteration,n,from_asr,to_asr,to_minus_from_asr,both_success,left_only,right_only,both_safe,mcnemar_exact_p
llama3b,5,1,2,330,0.15454545454545454,0.05757575757575758,-0.09696969696969697,8,43,11,268,1.4013057456185862e-05
llama3b,10,1,2,330,0.1787878787878788,0.051515151515151514,-0.12727272727272726,5,54,12,259,1.6944941229476377e-07
llama3b,20,1,2,330,0.22727272727272727,0.09393939393939393,-0.13333333333333333,14,61,17,238,5.663739625418237e-07
llama3b,40,1,2,330,0.27575757575757576,0.09393939393939393,-0.18181818181818182,19,72,12,227,1.3932285101509037e-11
llama3b,5,2,3,330,0.05757575757575758,0.030303030303030304,-0.02727272727272727,1,18,9,302,0.12207812070846558
llama3b,10,2,3,330,0.051515151515151514,0.048484848484848485,-0.0030303030303030303,6,11,10,303,1.0
llama3b,20,2,3,330,0.09393939393939393,0.045454545454545456,-0.048484848484848485,7,24,8,291,0.0070003666914999485
llama3b,40,2,3,330,0.09393939393939393,0.05454545454545454,-0.03939393939393939,7,24,11,288,0.04095959151163697
qwen4b,5,1,2,330,0.10303030303030303,0.00909090909090909,-0.09393939393939393,1,33,2,294,3.6729034036397934e-08
qwen4b,10,1,2,330,0.1484848484848485,0.0030303030303030303,-0.14545454545454545,1,48,0,281,7.105427357601002e-15
qwen4b,20,1,2,330,0.20606060606060606,0.015151515151515152,-0.19090909090909092,3,65,2,260,3.088620938868081e-17
qwen4b,40,1,2,330,0.2909090909090909,0.030303030303030304,-0.2606060606060606,7,89,3,231,5.244963240504083e-23
qwen4b,5,2,3,330,0.00909090909090909,0.0,-0.00909090909090909,0,3,0,327,0.25
qwen4b,10,2,3,330,0.0030303030303030303,0.0030303030303030303,0.0,1,0,0,329,
qwen4b,20,2,3,330,0.015151515151515152,0.012121212121212121,-0.0030303030303030303,2,3,2,323,1.0
qwen4b,40,2,3,330,0.030303030303030304,0.015151515151515152,-0.015151515151515152,4,6,1,319,0.125
