family,iteration,miner,num_examples,attempted_candidates,kept_prefixes,kept_jsonl_rows,unique_prompt_ids,kept_per_attempt,kept_per_example,refusal_reject_rate,verification_reject_rate,rejected_refusal_candidate,rejected_verification,seed_data_type,save_path
llama3b,1,student,330,1567,453,453,154,0.28908742820676453,1.3727272727272728,0.3178047223994895,0.393107849393746,498,616,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_1/mined_student_iter_1.jsonl
llama3b,1,teacher,330,1057,571,571,300,0.5402081362346263,1.7303030303030302,0.10690633869441817,0.35288552507095555,113,373,harmful_hex_phi,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_1/mined_teacher_iter_1.jsonl
llama3b,2,student,330,1931,128,128,35,0.06628689798032107,0.3878787878787879,0.7762817193164163,0.15743138270326257,1499,304,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_2/mined_student_iter_2.jsonl
llama3b,2,teacher,330,1607,633,633,119,0.3939016801493466,1.9181818181818182,0.5395146235220909,0.06658369632856254,867,107,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_2/mined_teacher_iter_2.jsonl
llama3b,3,student,190,1067,86,86,12,0.08059981255857544,0.45263157894736844,0.8059981255857545,0.1134020618556701,860,121,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_student_iter_3.jsonl
llama3b,3,teacher,128,614,190,190,32,0.30944625407166126,1.484375,0.6400651465798045,0.050488599348534204,393,31,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_llama3b_zigzag_v2/iter_3/mined_teacher_iter_3.jsonl
qwen4b,1,student,330,1772,289,289,118,0.1630925507900677,0.8757575757575757,0.65744920993228,0.17945823927765236,1165,318,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_1/mined_student_iter_1.jsonl
qwen4b,1,teacher,330,1041,581,581,302,0.5581171950048031,1.7606060606060605,0.10086455331412104,0.3410182516810759,105,355,harmful_hex_phi,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_1/mined_teacher_iter_1.jsonl
qwen4b,2,student,330,1951,25,25,4,0.012813941568426449,0.07575757575757576,0.9753972321886212,0.011788826242952332,1903,23,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_2/mined_student_iter_2.jsonl
qwen4b,2,teacher,289,623,575,575,118,0.9229534510433387,1.9896193771626298,0.008025682182985553,0.06902086677367576,5,43,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_2/mined_teacher_iter_2.jsonl
qwen4b,3,student,50,216,72,72,3,0.3333333333333333,1.44,0.4212962962962963,0.24537037037037038,91,53,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_student_iter_3.jsonl
qwen4b,3,teacher,25,50,50,50,4,1.0,2.0,0.0,0.0,0,0,prior_mined_prefixes,logs/teacher_forcing_qwen30b_to_qwen4b_zigzag/iter_3/mined_teacher_iter_3.jsonl
